Year,Altersklasse,Aktivitäten,Value
2014,16 bis 24 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,94
2015,16 bis 24 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,87
2016,16 bis 24 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,86
2017,16 bis 24 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,84
2019,16 bis 24 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,82
2015,16 bis 24 Jahre,Installation von Software oder Anwendungen (Apps),87
2016,16 bis 24 Jahre,Installation von Software oder Anwendungen (Apps),89
2017,16 bis 24 Jahre,Installation von Software oder Anwendungen (Apps),86
2019,16 bis 24 Jahre,Installation von Software oder Anwendungen (Apps),88
2015,16 bis 24 Jahre,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",35
2016,16 bis 24 Jahre,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",34
2017,16 bis 24 Jahre,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",36
2019,16 bis 24 Jahre,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",34
2014,16 bis 24 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,91
2015,16 bis 24 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,86
2016,16 bis 24 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,85
2017,16 bis 24 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,83
2019,16 bis 24 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,80
2015,16 bis 24 Jahre,Schreiben eines Programmes in einer Programmiersprache,12
2016,16 bis 24 Jahre,Schreiben eines Programmes in einer Programmiersprache,13
2017,16 bis 24 Jahre,Schreiben eines Programmes in einer Programmiersprache,12
2019,16 bis 24 Jahre,Schreiben eines Programmes in einer Programmiersprache,14
2014,16 bis 74 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,76
2015,16 bis 74 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,68
2016,16 bis 74 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,68
2017,16 bis 74 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,69
2019,16 bis 74 Jahre,Kopieren oder Verschieben von Dateien und Ordnern,71
2015,16 bis 74 Jahre,Installation von Software oder Anwendungen (Apps),60
2016,16 bis 74 Jahre,Installation von Software oder Anwendungen (Apps),63
2017,16 bis 74 Jahre,Installation von Software oder Anwendungen (Apps),62
2019,16 bis 74 Jahre,Installation von Software oder Anwendungen (Apps),68
2015,16 bis 74 Jahre,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",32
2016,16 bis 74 Jahre,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",31
2017,16 bis 74 Jahre,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",33
2019,16 bis 74 Jahre,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",33
2014,16 bis 74 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,65
2015,16 bis 74 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,60
2016,16 bis 74 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,62
2017,16 bis 74 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,64
2019,16 bis 74 Jahre,Übertragung von Dateien zwischen Computern und anderen Geräten,66
2015,16 bis 74 Jahre,Schreiben eines Programmes in einer Programmiersprache,6
2016,16 bis 74 Jahre,Schreiben eines Programmes in einer Programmiersprache,6
2017,16 bis 74 Jahre,Schreiben eines Programmes in einer Programmiersprache,6
2019,16 bis 74 Jahre,Schreiben eines Programmes in einer Programmiersprache,6
