Year,Units,Altersklasse,Value
2010,Prozent,17 Jahre und jünger,0
2011,Prozent,17 Jahre und jünger,0
2012,Prozent,17 Jahre und jünger,0
2013,Prozent,17 Jahre und jünger,0
2014,Prozent,17 Jahre und jünger,0
2015,Prozent,17 Jahre und jünger,0
2016,Prozent,17 Jahre und jünger,0
2017,Prozent,17 Jahre und jünger,0
2018,Prozent,17 Jahre und jünger,0
2019,Prozent,17 Jahre und jünger,0
2010,Anzahl,17 Jahre und jünger,225
2011,Anzahl,17 Jahre und jünger,213
2012,Anzahl,17 Jahre und jünger,214
2013,Anzahl,17 Jahre und jünger,256
2014,Anzahl,17 Jahre und jünger,321
2015,Anzahl,17 Jahre und jünger,880
2016,Anzahl,17 Jahre und jünger,700
2017,Anzahl,17 Jahre und jünger,318
2018,Anzahl,17 Jahre und jünger,143
2019,Anzahl,17 Jahre und jünger,90
2010,Prozent,14 Jahre und jünger,0
2011,Prozent,14 Jahre und jünger,0
2012,Prozent,14 Jahre und jünger,0
2013,Prozent,14 Jahre und jünger,0
2014,Prozent,14 Jahre und jünger,0
2015,Prozent,14 Jahre und jünger,0
2016,Prozent,14 Jahre und jünger,0
2017,Prozent,14 Jahre und jünger,0
2018,Prozent,14 Jahre und jünger,0
2019,Prozent,14 Jahre und jünger,0
