Year,Themenbereich,Value
2018,Abschnitt 1: Mutterschaftsvorsorge,
2019,Abschnitt 1: Mutterschaftsvorsorge,68.0
2020,Abschnitt 1: Mutterschaftsvorsorge,
2018,Abschnitt 2: Empfängnisverhütung und Familienplanung,
2019,Abschnitt 2: Empfängnisverhütung und Familienplanung,85.0
2020,Abschnitt 2: Empfängnisverhütung und Familienplanung,
2018,Abschnitt 3: Umfassende Sexualerziehung und Information,
2020,Abschnitt 3: Umfassende Sexualerziehung und Information,
2018,Abschnitt 4: HIV und HPV,
2019,Abschnitt 4: HIV und HPV,100.0
2020,Abschnitt 4: HIV und HPV,
