Year,Art des Wasserkörpers,Zustandsklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,Fließgewässer,Unklar,,,,2.8
2021,Fließgewässer,Unklar,,,,1.7
2015,Fließgewässer,Schlecht,,,,19.9
2021,Fließgewässer,Schlecht,,,,19.1
2015,Fließgewässer,Unbefriedigend,,,,34.4
2021,Fließgewässer,Unbefriedigend,,,,34.9
2015,Fließgewässer,Mäßig,,,,36.2
2021,Fließgewässer,Mäßig,,,,36.3
2015,Fließgewässer,Gut oder sehr gut,,,,6.7
2021,Fließgewässer,Gut oder sehr gut,,,,8.0
2015,Seen,Unklar,,,,2.9
2021,Seen,Unklar,,,,4.0
2015,Seen,Schlecht,,,,10.5
2021,Seen,Schlecht,,,,9.4
2015,Seen,Unbefriedigend,,,,26.2
2021,Seen,Unbefriedigend,,,,25.8
2015,Seen,Mäßig,,,,34.0
2021,Seen,Mäßig,,,,36.1
2015,Seen,Gut oder sehr gut,,,,26.4
2021,Seen,Gut oder sehr gut,,,,24.7
2010,Übergangs- und Küstengewässer - Nordsee,Unklar,-,,,0.0
2015,Übergangs- und Küstengewässer - Nordsee,Unklar,,,,14.0
2021,Übergangs- und Küstengewässer - Nordsee,Unklar,-,,,0.0
2010,Übergangs- und Küstengewässer - Nordsee,Schlecht,,,,4.0
2015,Übergangs- und Küstengewässer - Nordsee,Schlecht,,,,11.0
2021,Übergangs- und Küstengewässer - Nordsee,Schlecht,,,,14.0
2010,Übergangs- und Küstengewässer - Nordsee,Unbefriedigend,,,,32.0
2015,Übergangs- und Küstengewässer - Nordsee,Unbefriedigend,,,,31.0
2021,Übergangs- und Küstengewässer - Nordsee,Unbefriedigend,,,,32.0
2010,Übergangs- und Küstengewässer - Nordsee,Mäßig,,,,64.0
2015,Übergangs- und Küstengewässer - Nordsee,Mäßig,,,,44.0
2021,Übergangs- und Küstengewässer - Nordsee,Mäßig,,,,54.0
2010,Übergangs- und Küstengewässer - Nordsee,Gut oder sehr gut,‒,,,0.0
2015,Übergangs- und Küstengewässer - Nordsee,Gut oder sehr gut,‒,,,0.0
2021,Übergangs- und Küstengewässer - Nordsee,Gut oder sehr gut,‒,,,0.0
2010,Übergangs- und Küstengewässer - Ostsee,Unklar,‒,,,0.0
2015,Übergangs- und Küstengewässer - Ostsee,Unklar,,,,4.0
2021,Übergangs- und Küstengewässer - Ostsee,Unklar,‒,,,0.0
2010,Übergangs- und Küstengewässer - Ostsee,Schlecht,,,,16.0
2015,Übergangs- und Küstengewässer - Ostsee,Schlecht,,,,32.0
2021,Übergangs- und Küstengewässer - Ostsee,Schlecht,,,,27.0
2010,Übergangs- und Küstengewässer - Ostsee,Unbefriedigend,,,,50.0
2015,Übergangs- und Küstengewässer - Ostsee,Unbefriedigend,,,,32.0
2021,Übergangs- und Küstengewässer - Ostsee,Unbefriedigend,,,,40.0
2010,Übergangs- und Küstengewässer - Ostsee,Mäßig,,,,32.0
2015,Übergangs- und Küstengewässer - Ostsee,Mäßig,,,,32.0
2021,Übergangs- und Küstengewässer - Ostsee,Mäßig,,,,33.0
2010,Übergangs- und Küstengewässer - Ostsee,Gut oder sehr gut,,,,2.0
2015,Übergangs- und Küstengewässer - Ostsee,Gut oder sehr gut,‒,,,0.0
2021,Übergangs- und Küstengewässer - Ostsee,Gut oder sehr gut,‒,,,0.0
