Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1797.123
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1106.844
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,964.189
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1267.905
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,2889.356
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1768.523
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,2103.052
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1725.509
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,2454.271
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1249.739
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1214.012
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1250.024
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,3197.093
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,2621.629
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,1880.908
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,953.759
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,695.003
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,535.244
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,892.546
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1172.503
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1531.453
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1511.822
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1264.141
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1388.628
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1274.053
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1455.283
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1278.401
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1854.243
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1893.147
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2289.163
2010,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2011,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2012,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2013,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2014,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2015,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2016,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2017,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2018,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,154.328
2019,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,127.103
2020,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,75.393
2021,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,78.947
2022,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,145.982
2023,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2024,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,‒,,,0.0
2010,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
2011,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,‒,,,0.0
