Year,Kontenart,Value
2010,,
2011,,
2012,,
2013,,
2014,,145480.0
2015,,148138.0
2016,,150897.0
2017,,151388.0
2018,,153212.0
2019,,156026.0
2020,,159106.0
2010,Online-Konten,
2011,Online-Konten,
2012,Online-Konten,
2013,Online-Konten,
2014,Online-Konten,78631.0
2015,Online-Konten,81488.0
2016,Online-Konten,85985.0
2017,Online-Konten,89351.0
2018,Online-Konten,93542.0
2019,Online-Konten,98983.0
2020,Online-Konten,103732.0
2010,Girokonten,94982.0
2011,Girokonten,95684.0
2012,Girokonten,96858.0
2013,Girokonten,98512.0
2014,Girokonten,99875.0
2015,Girokonten,101661.0
2016,Girokonten,103844.0
2017,Girokonten,103876.0
2018,Girokonten,105955.0
2019,Girokonten,107973.0
2020,Girokonten,109216.0
