Year,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2011,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2012,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2013,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2014,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2015,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2016,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2017,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2018,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2019,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2020,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,433154.0
2021,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,458101.0
2022,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,493938.0
2023,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,498001.0
2010,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2011,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2012,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2013,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2014,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2015,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2016,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2017,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2018,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2019,Beherbergung: Sonstige Beherbergungsstätten,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2020,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,521462.0
2021,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,691160.0
2022,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,667494.0
2023,Beherbergung: Sonstige Beherbergungsstätten,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,664668.0
2010,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2011,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2012,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2013,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2014,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2015,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2016,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2017,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2018,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2019,Gaststätten- und Getränkeausschank,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2020,Gaststätten- und Getränkeausschank,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,1336699.0
2021,Gaststätten- und Getränkeausschank,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,1457238.0
2022,Gaststätten- und Getränkeausschank,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,1514878.0
2023,Gaststätten- und Getränkeausschank,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,1541245.0
2022,Personenbeförderung im Eisenbahnverkehr,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,25222.0
2023,Personenbeförderung im Eisenbahnverkehr,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,25745.0
2010,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2011,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2012,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2013,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2014,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2015,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2016,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2017,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2018,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2019,Personenbeförderung im Straßenverkehr,.,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,
2020,Personenbeförderung im Straßenverkehr,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,164649.0
2021,Personenbeförderung im Straßenverkehr,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,186530.0
2022,Personenbeförderung im Straßenverkehr,,,,<u>Zeitreihe des Indikators:</u> Erwerbstätige,194485.0
