Year,Units,Zeitreihe,Value
2010,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,19.7
2011,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.2
2012,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.2
2013,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,19.9
2014,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.2
2015,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.3
2016,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.7
2017,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.4
2018,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,20.1
2019,Prozent (%),Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,19.1
2010,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,21.9
2011,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,22.5
2012,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,22.4
2013,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,22.2
2014,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,22.5
2015,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,22.6
2016,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,22.9
2017,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,22.7
2018,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,22.3
2019,Prozent (%),Verhältnis der Bruttowertschöpfung im Verarbeitenden Gewerbe an der Bruttowertschöpfung insgesamt,21.2
2010,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,6291.0
2011,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,6789.0
2012,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,6880.0
2013,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,6946.0
2014,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7311.0
2015,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7538.0
2016,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7865.0
2017,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,8054.0
2018,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,8130.0
2019,Euro,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,7933.0
