Year,Zeitreihe,Value
2010,Erwerbstätige im Verarbeitenden Gewerbe,17.39
2011,Erwerbstätige im Verarbeitenden Gewerbe,17.54
2012,Erwerbstätige im Verarbeitenden Gewerbe,17.64
2013,Erwerbstätige im Verarbeitenden Gewerbe,17.56
2014,Erwerbstätige im Verarbeitenden Gewerbe,17.51
2015,Erwerbstätige im Verarbeitenden Gewerbe,17.41
2016,Erwerbstätige im Verarbeitenden Gewerbe,17.25
2017,Erwerbstätige im Verarbeitenden Gewerbe,17.16
2018,Erwerbstätige im Verarbeitenden Gewerbe,17.22
2019,Erwerbstätige im Verarbeitenden Gewerbe,17.16
