Year,Technologiesektoren,Value
2010,,59
2011,,59
2012,,59
2013,,59
2014,,61
2015,,61
2016,,61
2017,,61
2018,,61
2019,,61
2020,,60
2021,,60
2010,Medium-High-Tech,49
2011,Medium-High-Tech,50
2012,Medium-High-Tech,50
2013,Medium-High-Tech,50
2014,Medium-High-Tech,51
2015,Medium-High-Tech,51
2016,Medium-High-Tech,51
2017,Medium-High-Tech,51
2018,Medium-High-Tech,51
2019,Medium-High-Tech,50
2020,Medium-High-Tech,49
2021,Medium-High-Tech,49
2010,High-Tech,10
2011,High-Tech,10
2012,High-Tech,10
2013,High-Tech,10
2014,High-Tech,10
2015,High-Tech,10
2016,High-Tech,10
2017,High-Tech,10
2018,High-Tech,10
2019,High-Tech,11
2020,High-Tech,11
2021,High-Tech,11
