Year,Value,Units
2010,306.3,Millionen EUR
2011,312.1,Millionen EUR
2012,336.9,Millionen EUR
2013,391.4,Millionen EUR
2014,406.8,Millionen EUR
2015,404.4,Millionen EUR
2016,447.8,Millionen EUR
2017,474.7,Millionen EUR
2018,490.5,Millionen EUR
2019,474.5,Millionen EUR
2020,489.4,Millionen EUR
2021,560.0,Millionen EUR
2022,537.3,Millionen EUR
2023,611.7,Millionen EUR
2024,624.9,Millionen EUR
2010,2.4,Prozent
2011,2.35,Prozent
2012,2.51,Prozent
2013,2.74,Prozent
2014,2.87,Prozent
2015,2.69,Prozent
2016,2.87,Prozent
2017,2.85,Prozent
2018,2.84,Prozent
2019,2.53,Prozent
2020,2.37,Prozent
2021,2.58,Prozent
2022,2.3,Prozent
2023,2.54,Prozent
2024,2.4,Prozent
