Year,Value,Series
2010,22601,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2011,20687,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2012,21045,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2013,21364,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2014,23170,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2015,23093,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2016,24248,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2017,29644,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2018,31738,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2019,30397,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2020,19712,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2021,24001,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2010,1365,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2011,1208,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2012,1112,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2013,1105,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2014,852,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2015,1301,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2016,915,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2017,934,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2018,1294,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2019,1444,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2020,1240,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
2021,1130,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes
