Year,Value,Units
2010,139.9,Millionen EUR
2011,93.8,Millionen EUR
2012,117.9,Millionen EUR
2013,180.2,Millionen EUR
2014,198.9,Millionen EUR
2015,256.6,Millionen EUR
2016,310.9,Millionen EUR
2017,380.0,Millionen EUR
2018,408.6,Millionen EUR
2019,449.8,Millionen EUR
2020,1494.2,Millionen EUR
2021,1826.5,Millionen EUR
2022,2571.7,Millionen EUR
2010,189.1,"Millionen USD, konstante Preise (2022)"
2011,125.3,"Millionen USD, konstante Preise (2022)"
2012,155.4,"Millionen USD, konstante Preise (2022)"
2013,232.7,"Millionen USD, konstante Preise (2022)"
2014,252.3,"Millionen USD, konstante Preise (2022)"
2015,319.5,"Millionen USD, konstante Preise (2022)"
2016,382.0,"Millionen USD, konstante Preise (2022)"
2017,459.9,"Millionen USD, konstante Preise (2022)"
2018,484.8,"Millionen USD, konstante Preise (2022)"
2019,522.6,"Millionen USD, konstante Preise (2022)"
2020,1704.0,"Millionen USD, konstante Preise (2022)"
2021,2022.2,"Millionen USD, konstante Preise (2022)"
2022,2704.5,"Millionen USD, konstante Preise (2022)"
