Year,Value,Units
2010,5.5,Megajoule pro EUR
2011,5.0,Megajoule pro EUR
2012,4.9,Megajoule pro EUR
2013,4.9,Megajoule pro EUR
2014,4.5,Megajoule pro EUR
2015,4.4,Megajoule pro EUR
2016,4.3,Megajoule pro EUR
2017,4.1,Megajoule pro EUR
2018,3.9,Megajoule pro EUR
2019,3.7,Megajoule pro EUR
2020,3.5,Megajoule pro EUR
2010,116.6,2015 = 100
2011,107.3,2015 = 100
2012,105.6,2015 = 100
2013,108.1,2015 = 100
2014,100.9,2015 = 100
2015,100.0,2015 = 100
2016,99.5,2015 = 100
2017,97.2,2015 = 100
2018,93.2,2015 = 100
2019,90.2,2015 = 100
2020,86.9,2015 = 100
