Year,Value,Units,Series,GeoCode
2014,17.78,EUR pro Stunde,Durchschnittlicher Stundenverdienst Beschäftigter,
2018,19.66,EUR pro Stunde,Durchschnittlicher Stundenverdienst Beschäftigter,
2022,22.36,EUR pro Stunde,Durchschnittlicher Stundenverdienst Beschäftigter,
2010,22.0,Prozent,Verdienstabstand,
2011,22.0,Prozent,Verdienstabstand,
2012,23.0,Prozent,Verdienstabstand,
2013,22.0,Prozent,Verdienstabstand,
2014,22.0,Prozent,Verdienstabstand,
2015,22.0,Prozent,Verdienstabstand,
2016,21.0,Prozent,Verdienstabstand,
2017,20.0,Prozent,Verdienstabstand,
2018,20.0,Prozent,Verdienstabstand,
2019,19.0,Prozent,Verdienstabstand,
2020,18.0,Prozent,Verdienstabstand,
2021,18.0,Prozent,Verdienstabstand,
2023,18.0,Prozent,Verdienstabstand,
