Year,Value,Series
2010,268.0,CO₂-Emissionen zum realen BIP
2011,251.4,CO₂-Emissionen zum realen BIP
2012,253.2,CO₂-Emissionen zum realen BIP
2013,257.7,CO₂-Emissionen zum realen BIP
2014,240.3,CO₂-Emissionen zum realen BIP
2015,238.9,CO₂-Emissionen zum realen BIP
2016,232.7,CO₂-Emissionen zum realen BIP
2017,222.7,CO₂-Emissionen zum realen BIP
2023,164.2,CO₂-Emissionen zum realen BIP
2010,317.1,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2011,288.7,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2012,288.4,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2013,287.5,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2014,271.2,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2015,279.1,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2016,272.6,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2017,270.5,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2018,257.3,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2019,254.8,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
2020,268.9,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe
