Year,Units,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Official Development Assistance,Commitments,,,,12471.827
2011,Million EUR,Official Development Assistance,Commitments,,,,14158.814
2012,Million EUR,Official Development Assistance,Commitments,,,,12867.861
2013,Million EUR,Official Development Assistance,Commitments,,,,15101.429
2014,Million EUR,Official Development Assistance,Commitments,,,,18746.966
2015,Million EUR,Official Development Assistance,Commitments,,,,19169.749
2016,Million EUR,Official Development Assistance,Commitments,,,,25913.433
2017,Million EUR,Official Development Assistance,Commitments,,,,26889.847
2018,Million EUR,Official Development Assistance,Commitments,,,,27347.053
2019,Million EUR,Official Development Assistance,Commitments,,,,27574.453
2020,Million EUR,Official Development Assistance,Commitments,,,,31424.422
2021,Million EUR,Official Development Assistance,Commitments,,,,33668.9
2022,Million EUR,Official Development Assistance,Commitments,,,,39437.988
2023,Million EUR,Official Development Assistance,Commitments,,,,43596.412
2024,Million EUR,Official Development Assistance,Commitments,,,,35061.803
2025,Million EUR,Official Development Assistance,Commitments,…,,,
2010,Million EUR,Official Development Assistance,Net disbursements,,,,9803.945
2011,Million EUR,Official Development Assistance,Net disbursements,,,,10135.643
2012,Million EUR,Official Development Assistance,Net disbursements,,,,10066.924
2013,Million EUR,Official Development Assistance,Net disbursements,,,,10716.728
2014,Million EUR,Official Development Assistance,Net disbursements,,,,12485.947
2015,Million EUR,Official Development Assistance,Net disbursements,,,,16173.103
2016,Million EUR,Official Development Assistance,Net disbursements,,,,22368.486
2017,Million EUR,Official Development Assistance,Net disbursements,,,,22181.991
2018,Million EUR,Official Development Assistance,Net disbursements,,,,21750.512
2019,Million EUR,Official Development Assistance,Net disbursements,,,,21548.52
2020,Million EUR,Official Development Assistance,Net disbursements,,,,25728.63
2021,Million EUR,Official Development Assistance,Net disbursements,,,,27444.427
2022,Million EUR,Official Development Assistance,Net disbursements,,,,34655.141
2023,Million EUR,Official Development Assistance,Net disbursements,,,,38151.038
2024,Million EUR,Official Development Assistance,Net disbursements,,,,30742.34
2025,Million EUR,Official Development Assistance,Net disbursements,p,,,24853.138
2010,Million EUR,Other Official Flows,Net disbursements,,,,51.399
2011,Million EUR,Other Official Flows,Net disbursements,,,,-103.682
2012,Million EUR,Other Official Flows,Net disbursements,,,,-70.818
2013,Million EUR,Other Official Flows,Net disbursements,,,,-64.06
2014,Million EUR,Other Official Flows,Net disbursements,,,,115.461
2015,Million EUR,Other Official Flows,Net disbursements,,,,1194.191
2016,Million EUR,Other Official Flows,Net disbursements,,,,-414.262
2017,Million EUR,Other Official Flows,Net disbursements,,,,-316.314
2018,Million EUR,Other Official Flows,Net disbursements,,,,-99.524
2019,Million EUR,Other Official Flows,Net disbursements,,,,12.237
2020,Million EUR,Other Official Flows,Net disbursements,,,,370.699
2021,Million EUR,Other Official Flows,Net disbursements,,,,1075.589
2022,Million EUR,Other Official Flows,Net disbursements,,,,219.822
2023,Million EUR,Other Official Flows,Net disbursements,,,,35.331
2024,Million EUR,Other Official Flows,Net disbursements,,,,153.317
2025,Million EUR,Other Official Flows,Net disbursements,…,,,
2010,Million EUR,Officially supported export credits,Net disbursements,,,,2798.952
2011,Million EUR,Officially supported export credits,Net disbursements,,,,7392.317
2012,Million EUR,Officially supported export credits,Net disbursements,,,,4879.647
2013,Million EUR,Officially supported export credits,Net disbursements,,,,4083.012
2014,Million EUR,Officially supported export credits,Net disbursements,,,,-120.985
2015,Million EUR,Officially supported export credits,Net disbursements,.,,,
2016,Million EUR,Officially supported export credits,Net disbursements,,,,3119.404
2017,Million EUR,Officially supported export credits,Net disbursements,,,,5.622
2018,Million EUR,Officially supported export credits,Net disbursements,,,,1176.4
2019,Million EUR,Officially supported export credits,Net disbursements,,,,-1739.899
2020,Million EUR,Officially supported export credits,Net disbursements,,,,-1072.491
2021,Million EUR,Officially supported export credits,Net disbursements,,,,-1064.935
2022,Million EUR,Officially supported export credits,Net disbursements,,,,-1305.845
2023,Million EUR,Officially supported export credits,Net disbursements,,,,9695.916
2024,Million EUR,Officially supported export credits,Net disbursements,,,,1437.365
2025,Million EUR,Officially supported export credits,Net disbursements,…,,,
2010,Million EUR,Private sector flows at market terms,Net disbursements,,,,17676.13
2011,Million EUR,Private sector flows at market terms,Net disbursements,,,,21847.362
2012,Million EUR,Private sector flows at market terms,Net disbursements,,,,11045.448
2013,Million EUR,Private sector flows at market terms,Net disbursements,,,,24190.103
2014,Million EUR,Private sector flows at market terms,Net disbursements,,,,26319.59
2015,Million EUR,Private sector flows at market terms,Net disbursements,.,,,
2016,Million EUR,Private sector flows at market terms,Net disbursements,,,,18129.237
2017,Million EUR,Private sector flows at market terms,Net disbursements,,,,24478.202
2018,Million EUR,Private sector flows at market terms,Net disbursements,,,,20063.268
2019,Million EUR,Private sector flows at market terms,Net disbursements,,,,16505.507
2020,Million EUR,Private sector flows at market terms,Net disbursements,,,,12869.21
2021,Million EUR,Private sector flows at market terms,Net disbursements,,,,29778.905
2022,Million EUR,Private sector flows at market terms,Net disbursements,,,,13803.579
2023,Million EUR,Private sector flows at market terms,Net disbursements,,,,18862.025
2024,Million EUR,Private sector flows at market terms,Net disbursements,,,,27165.21
2025,Million EUR,Private sector flows at market terms,Net disbursements,…,,,
2010,Million EUR,Private grants,Net disbursements,,,,1105.238
2011,Million EUR,Private grants,Net disbursements,,,,1149.062
2012,Million EUR,Private grants,Net disbursements,,,,1088.466
2013,Million EUR,Private grants,Net disbursements,,,,1066.219
2014,Million EUR,Private grants,Net disbursements,,,,1148.483
2015,Million EUR,Private grants,Net disbursements,,,,1244.961
2016,Million EUR,Private grants,Net disbursements,,,,1287.41
2017,Million EUR,Private grants,Net disbursements,,,,1321.772
2018,Million EUR,Private grants,Net disbursements,,,,1154.892
2019,Million EUR,Private grants,Net disbursements,,,,1364.709
2020,Million EUR,Private grants,Net disbursements,,,,1328.716
2021,Million EUR,Private grants,Net disbursements,,,,1279.059
2022,Million EUR,Private grants,Net disbursements,,,,1722.377
2023,Million EUR,Private grants,Net disbursements,,,,1457.977
2024,Million EUR,Private grants,Net disbursements,,,,1715.161
2025,Million EUR,Private grants,Net disbursements,…,,,
2010,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,19132.62
2011,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,21456.29
2012,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,19224.13
2013,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,22119.33
2014,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,26947.88
2015,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,27083.46
2016,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,36155.15
2017,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,36973.41
2018,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,36911.09
2019,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,36483.43
