Year,Standard accounting system,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,10.0
2011,,,,,3.0
2012,,,,,3.0
2013,,,,,3.0
2014,,,,,3.0
2015,,,,,10.0
2016,,,,,10.0
2017,,,,,10.0
2018,,,,,10.0
2019,,,,,10.0
2020,,r,,,10.0
2021,,r,,,10.0
2022,,r,,,10.0
2023,,,,,2.0
2010,SEEA tables,,,,3.0
2011,SEEA tables,,,,3.0
2012,SEEA tables,,,,3.0
2013,SEEA tables,,,,3.0
2014,SEEA tables,,,,3.0
2015,SEEA tables,,,,3.0
2016,SEEA tables,,,,3.0
2017,SEEA tables,,,,3.0
2018,SEEA tables,,,,3.0
2019,SEEA tables,,,,3.0
2020,SEEA tables,r,,,3.0
2021,SEEA tables,r,,,3.0
2022,SEEA tables,r,,,3.0
2023,SEEA tables,,,,2.0
2010,TSA tables,,,,7.0
2011,TSA tables,,,,0.0
2012,TSA tables,,,,0.0
2013,TSA tables,,,,0.0
2014,TSA tables,,,,0.0
2015,TSA tables,,,,7.0
2016,TSA tables,,,,7.0
2017,TSA tables,,,,7.0
2018,TSA tables,,,,7.0
2019,TSA tables,,,,7.0
2020,TSA tables,,,,7.0
2021,TSA tables,,,,7.0
2022,TSA tables,,,,7.0
2023,TSA tables,…,,,
