Year,Time series,Value
2010,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2011,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2012,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2013,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2014,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2015,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2016,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2017,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2018,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2019,Marine Key Biodiversity Areas (KBAs) covered by protected areas,89
2010,Marine areas covered by protected areas,45
2011,Marine areas covered by protected areas,45
2012,Marine areas covered by protected areas,45
2013,Marine areas covered by protected areas,45
2014,Marine areas covered by protected areas,45
2015,Marine areas covered by protected areas,45
2016,Marine areas covered by protected areas,45
2017,Marine areas covered by protected areas,45
2018,Marine areas covered by protected areas,45
2019,Marine areas covered by protected areas,45
