Year,Units,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,,,,1.9
2011,Million EUR,Commitments,,,,2.4
2012,Million EUR,Commitments,,,,3.1
2013,Million EUR,Commitments,,,,10.1
2014,Million EUR,Commitments,,,,0.1
2015,Million EUR,Commitments,,,,0.1
2016,Million EUR,Commitments,,,,0.1
2017,Million EUR,Commitments,,,,2.3
2018,Million EUR,Commitments,,,,0.1
2019,Million EUR,Commitments,0.0,,,0.0
2020,Million EUR,Commitments,,,,2.0
2021,Million EUR,Commitments,,,,1.8
2022,Million EUR,Commitments,,,,0.8
2023,Million EUR,Commitments,,,,1.5
2024,Million EUR,Commitments,,,,2.2
2010,Million EUR,Gross disbursements,,,,2.6
2011,Million EUR,Gross disbursements,,,,3.3
2012,Million EUR,Gross disbursements,,,,1.8
2013,Million EUR,Gross disbursements,,,,10.6
2014,Million EUR,Gross disbursements,,,,0.1
2015,Million EUR,Gross disbursements,0.0,,,0.0
2016,Million EUR,Gross disbursements,,,,0.1
2017,Million EUR,Gross disbursements,,,,0.1
2018,Million EUR,Gross disbursements,,,,0.5
2019,Million EUR,Gross disbursements,,,,0.9
2020,Million EUR,Gross disbursements,,,,1.1
2021,Million EUR,Gross disbursements,,,,3.1
2022,Million EUR,Gross disbursements,,,,0.9
2023,Million EUR,Gross disbursements,,,,1.8
2024,Million EUR,Gross disbursements,,,,0.7
2010,"Million USD, constant prices (2024)",Commitments,,,,3.0
2011,"Million USD, constant prices (2024)",Commitments,,,,3.7
2012,"Million USD, constant prices (2024)",Commitments,,,,4.6
2013,"Million USD, constant prices (2024)",Commitments,,,,14.8
2014,"Million USD, constant prices (2024)",Commitments,,,,0.1
2015,"Million USD, constant prices (2024)",Commitments,,,,0.1
2016,"Million USD, constant prices (2024)",Commitments,,,,0.1
2017,"Million USD, constant prices (2024)",Commitments,,,,3.1
2018,"Million USD, constant prices (2024)",Commitments,,,,0.1
2019,"Million USD, constant prices (2024)",Commitments,,,,0.1
2020,"Million USD, constant prices (2024)",Commitments,,,,2.6
2021,"Million USD, constant prices (2024)",Commitments,,,,2.3
2022,"Million USD, constant prices (2024)",Commitments,,,,1.0
2023,"Million USD, constant prices (2024)",Commitments,,,,1.7
2024,"Million USD, constant prices (2024)",Commitments,,,,2.3
2010,"Million USD, constant prices (2024)",Gross disbursements,,,,4.0
2011,"Million USD, constant prices (2024)",Gross disbursements,,,,5.0
2012,"Million USD, constant prices (2024)",Gross disbursements,,,,2.7
2013,"Million USD, constant prices (2024)",Gross disbursements,,,,15.6
2014,"Million USD, constant prices (2024)",Gross disbursements,,,,0.2
2015,"Million USD, constant prices (2024)",Gross disbursements,0.0,,,0.0
2016,"Million USD, constant prices (2024)",Gross disbursements,,,,0.1
2017,"Million USD, constant prices (2024)",Gross disbursements,,,,0.1
2018,"Million USD, constant prices (2024)",Gross disbursements,,,,0.7
2019,"Million USD, constant prices (2024)",Gross disbursements,,,,1.1
2020,"Million USD, constant prices (2024)",Gross disbursements,,,,1.5
2021,"Million USD, constant prices (2024)",Gross disbursements,,,,3.9
2022,"Million USD, constant prices (2024)",Gross disbursements,,,,1.1
2023,"Million USD, constant prices (2024)",Gross disbursements,,,,2.1
2024,"Million USD, constant prices (2024)",Gross disbursements,,,,0.8
