Year,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Net disbursements total,,,,0.37
2011,Net disbursements total,,,,0.36
2012,Net disbursements total,,,,0.35
2013,Net disbursements total,,,,0.37
2014,Net disbursements total,,,,0.41
2015,Net disbursements total,,,,0.51
2016,Net disbursements total,,,,0.68
2017,Net disbursements total,,,,0.65
2018,Net disbursements total,,,,0.61
2019,Net disbursements total,,,,0.59
2020,Net disbursements total,,,,0.73
2021,Net disbursements total,,,,0.72
2022,Net disbursements total,p,,,0.84
2023,Net disbursements total,p,,,0.88
2024,Net disbursements total,p,,,0.68
2010,Net disbursements to least developed countries,,,,0.1
2011,Net disbursements to least developed countries,,,,0.09
2012,Net disbursements to least developed countries,,,,0.1
2013,Net disbursements to least developed countries,,,,0.09
2014,Net disbursements to least developed countries,,,,0.09
2015,Net disbursements to least developed countries,,,,0.07
2016,Net disbursements to least developed countries,,,,0.1
2017,Net disbursements to least developed countries,,,,0.11
2018,Net disbursements to least developed countries,,,,0.12
2019,Net disbursements to least developed countries,,,,0.11
2020,Net disbursements to least developed countries,,,,0.14
2021,Net disbursements to least developed countries,,,,0.14
2022,Net disbursements to least developed countries,p,,,0.11
2023,Net disbursements to least developed countries,p,,,0.2
2024,Net disbursements to least developed countries,p,,,0.08
