Year,Age group,Sex,Value
2010,16 to under 75 years,,80
2011,16 to under 75 years,,81
2012,16 to under 75 years,,82
2013,16 to under 75 years,,84
2014,16 to under 75 years,,86
2015,16 to under 75 years,,88
2016,16 to under 75 years,,90
2017,16 to under 75 years,,90
2018,16 to under 75 years,,92
2019,16 to under 75 years,,93
2020,16 to under 75 years,,94
2010,16 to under 75 years,Female,76
2011,16 to under 75 years,Female,78
2012,16 to under 75 years,Female,79
2013,16 to under 75 years,Female,81
2014,16 to under 75 years,Female,84
2015,16 to under 75 years,Female,85
2016,16 to under 75 years,Female,88
2017,16 to under 75 years,Female,89
2018,16 to under 75 years,Female,91
2019,16 to under 75 years,Female,92
2020,16 to under 75 years,Female,93
2010,16 to under 75 years,Male,84
2011,16 to under 75 years,Male,84
2012,16 to under 75 years,Male,85
2013,16 to under 75 years,Male,87
2014,16 to under 75 years,Male,89
2015,16 to under 75 years,Male,90
2016,16 to under 75 years,Male,91
2017,16 to under 75 years,Male,92
2018,16 to under 75 years,Male,94
2019,16 to under 75 years,Male,94
2020,16 to under 75 years,Male,95
2010,16 to under 25 years,,98
2011,16 to under 25 years,,99
2012,16 to under 25 years,,98
2013,16 to under 25 years,,98
2014,16 to under 25 years,,99
2015,16 to under 25 years,,99
2016,16 to under 25 years,,99
2017,16 to under 25 years,,99
2018,16 to under 25 years,,99
2019,16 to under 25 years,,99
2020,16 to under 25 years,,99
2010,25 to under 65 years,,85
2011,25 to under 65 years,,87
2012,25 to under 65 years,,88
2013,25 to under 65 years,,89
2014,25 to under 65 years,,91
2015,25 to under 65 years,,92
2016,25 to under 65 years,,93
2017,25 to under 65 years,,93
2018,25 to under 65 years,,95
2019,25 to under 65 years,,96
2020,25 to under 65 years,,97
2010,65 to under 75 years,,41
2011,65 to under 75 years,,41
2012,65 to under 75 years,,43
2013,65 to under 75 years,,50
2014,65 to under 75 years,,53
2015,65 to under 75 years,,56
2016,65 to under 75 years,,62
2017,65 to under 75 years,,64
2018,65 to under 75 years,,71
2019,65 to under 75 years,,72
2020,65 to under 75 years,,76
