Year,Economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Agriculture,,,,91.5
2011,Agriculture,,,,92.0
2012,Agriculture,,,,90.6
2013,Agriculture,,,,89.2
2014,Agriculture,,,,101.0
2015,Agriculture,,,,85.9
2016,Agriculture,,,,90.6
2017,Agriculture,,,,98.2
2018,Agriculture,,,,80.8
2019,Agriculture,,,,94.0
2020,Agriculture,,,,100.0
2021,Agriculture,,,,119.7
2022,Agriculture,p,,,120.4
2023,Agriculture,p,,,106.3
2010,Forestry,,,,106.9
2011,Forestry,,,,134.7
2012,Forestry,,,,153.7
2013,Forestry,,,,155.5
2014,Forestry,,,,161.8
2015,Forestry,,,,167.8
2016,Forestry,,,,181.5
2017,Forestry,,,,182.0
2018,Forestry,,,,209.3
2019,Forestry,,,,171.4
2020,Forestry,,,,100.0
2021,Forestry,,,,126.5
2022,Forestry,p,,,180.6
2023,Forestry,p,,,173.4
