Year,Units,Value
2010,Million EUR,202.7
2011,Million EUR,247.8
2012,Million EUR,218.1
2013,Million EUR,312.2
2014,Million EUR,268.4
2015,Million EUR,485.0
2016,Million EUR,518.8
2017,Million EUR,569.7
2018,Million EUR,482.5
2019,Million EUR,536.5
2020,Million EUR,798.4
2021,Million EUR,717.8
2022,Million EUR,1284.6
2010,"Million USD, constant prices (2022)",273.9
2011,"Million USD, constant prices (2022)",331.2
2012,"Million USD, constant prices (2022)",287.3
2013,"Million USD, constant prices (2022)",403.3
2014,"Million USD, constant prices (2022)",340.4
2015,"Million USD, constant prices (2022)",603.9
2016,"Million USD, constant prices (2022)",637.4
2017,"Million USD, constant prices (2022)",689.6
2018,"Million USD, constant prices (2022)",572.5
2019,"Million USD, constant prices (2022)",623.4
2020,"Million USD, constant prices (2022)",910.5
2021,"Million USD, constant prices (2022)",794.7
2022,"Million USD, constant prices (2022)",1351.0
