Year,Time series,Type of disease,Value
2010,People requiring interventions against neglected tropical diseases,,720
2011,People requiring interventions against neglected tropical diseases,,437
2012,People requiring interventions against neglected tropical diseases,,740
2013,People requiring interventions against neglected tropical diseases,,1011
2014,People requiring interventions against neglected tropical diseases,,758
2015,People requiring interventions against neglected tropical diseases,,882
2016,People requiring interventions against neglected tropical diseases,,1139
2017,People requiring interventions against neglected tropical diseases,,778
2018,People requiring interventions against neglected tropical diseases,,789
2019,People requiring interventions against neglected tropical diseases,,1327
2020,People requiring interventions against neglected tropical diseases,,375
2021,People requiring interventions against neglected tropical diseases,,212
2010,People requiring interventions against neglected tropical diseases,Dengue,595
2011,People requiring interventions against neglected tropical diseases,Dengue,288
2012,People requiring interventions against neglected tropical diseases,Dengue,616
2013,People requiring interventions against neglected tropical diseases,Dengue,878
2014,People requiring interventions against neglected tropical diseases,Dengue,625
2015,People requiring interventions against neglected tropical diseases,Dengue,725
2016,People requiring interventions against neglected tropical diseases,Dengue,956
2017,People requiring interventions against neglected tropical diseases,Dengue,636
2018,People requiring interventions against neglected tropical diseases,Dengue,613
2019,People requiring interventions against neglected tropical diseases,Dengue,1176
2020,People requiring interventions against neglected tropical diseases,Dengue,205
2021,People requiring interventions against neglected tropical diseases,Dengue,60
2010,People requiring interventions against neglected tropical diseases,Echinococcosis,123
2011,People requiring interventions against neglected tropical diseases,Echinococcosis,147
2012,People requiring interventions against neglected tropical diseases,Echinococcosis,119
2013,People requiring interventions against neglected tropical diseases,Echinococcosis,132
2014,People requiring interventions against neglected tropical diseases,Echinococcosis,131
2015,People requiring interventions against neglected tropical diseases,Echinococcosis,157
2016,People requiring interventions against neglected tropical diseases,Echinococcosis,181
2017,People requiring interventions against neglected tropical diseases,Echinococcosis,141
2018,People requiring interventions against neglected tropical diseases,Echinococcosis,176
2019,People requiring interventions against neglected tropical diseases,Echinococcosis,150
2020,People requiring interventions against neglected tropical diseases,Echinococcosis,170
2021,People requiring interventions against neglected tropical diseases,Echinococcosis,152
2010,People requiring interventions against neglected tropical diseases,Leprosy,2
2011,People requiring interventions against neglected tropical diseases,Leprosy,2
2012,People requiring interventions against neglected tropical diseases,Leprosy,5
2013,People requiring interventions against neglected tropical diseases,Leprosy,1
2014,People requiring interventions against neglected tropical diseases,Leprosy,2
2015,People requiring interventions against neglected tropical diseases,Leprosy,0
2016,People requiring interventions against neglected tropical diseases,Leprosy,2
2017,People requiring interventions against neglected tropical diseases,Leprosy,1
2018,People requiring interventions against neglected tropical diseases,Leprosy,0
2019,People requiring interventions against neglected tropical diseases,Leprosy,1
2020,People requiring interventions against neglected tropical diseases,Leprosy,0
2021,People requiring interventions against neglected tropical diseases,Leprosy,0
2010,Inpatient treatment of neglected tropical diseases,,406
2011,Inpatient treatment of neglected tropical diseases,,428
2012,Inpatient treatment of neglected tropical diseases,,427
2013,Inpatient treatment of neglected tropical diseases,,418
2014,Inpatient treatment of neglected tropical diseases,,496
2015,Inpatient treatment of neglected tropical diseases,,580
2016,Inpatient treatment of neglected tropical diseases,,1031
2017,Inpatient treatment of neglected tropical diseases,,899
2018,Inpatient treatment of neglected tropical diseases,,764
2019,Inpatient treatment of neglected tropical diseases,,981
2020,Inpatient treatment of neglected tropical diseases,,628
2021,Inpatient treatment of neglected tropical diseases,,576
2010,Inpatient treatment of neglected tropical diseases,Buruli ulcer,30
2011,Inpatient treatment of neglected tropical diseases,Buruli ulcer,20
2012,Inpatient treatment of neglected tropical diseases,Buruli ulcer,16
2013,Inpatient treatment of neglected tropical diseases,Buruli ulcer,30
2014,Inpatient treatment of neglected tropical diseases,Buruli ulcer,26
2015,Inpatient treatment of neglected tropical diseases,Buruli ulcer,29
2016,Inpatient treatment of neglected tropical diseases,Buruli ulcer,28
2017,Inpatient treatment of neglected tropical diseases,Buruli ulcer,22
2018,Inpatient treatment of neglected tropical diseases,Buruli ulcer,18
2019,Inpatient treatment of neglected tropical diseases,Buruli ulcer,22
