Year,Conversion,Value
2010,By UN factors,
2011,By UN factors,11.9
2012,By UN factors,11.8
2013,By UN factors,11.7
2014,By UN factors,11.6
2015,By UN factors,11.5
2016,By UN factors,11.4
2017,By UN factors,11.1
2018,By UN factors,11.4
2019,By UN factors,11.0
2010,By national factors,
2011,By national factors,11.4
2012,By national factors,11.3
2013,By national factors,11.2
2014,By national factors,11.1
2015,By national factors,11.0
2016,By national factors,10.9
2017,By national factors,10.7
2018,By national factors,10.9
2019,By national factors,10.5
