Year,Units,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,,,,108.658
2011,Million EUR,Commitments,,,,102.575
2012,Million EUR,Commitments,,,,185.557
2013,Million EUR,Commitments,,,,356.535
2014,Million EUR,Commitments,,,,340.661
2015,Million EUR,Commitments,,,,278.728
2016,Million EUR,Commitments,,,,300.001
2017,Million EUR,Commitments,,,,447.854
2018,Million EUR,Commitments,,,,464.646
2019,Million EUR,Commitments,,,,464.299
2020,Million EUR,Commitments,,,,1425.335
2021,Million EUR,Commitments,,,,2377.986
2022,Million EUR,Commitments,,,,1793.246
2023,Million EUR,Commitments,,,,469.164
2024,Million EUR,Commitments,,,,407.163
2010,Million EUR,Gross disbursements,,,,139.9
2011,Million EUR,Gross disbursements,,,,93.8
2012,Million EUR,Gross disbursements,,,,117.9
2013,Million EUR,Gross disbursements,,,,180.2
2014,Million EUR,Gross disbursements,,,,198.9
2015,Million EUR,Gross disbursements,,,,256.6
2016,Million EUR,Gross disbursements,,,,310.9
2017,Million EUR,Gross disbursements,,,,380.0
2018,Million EUR,Gross disbursements,,,,408.6
2019,Million EUR,Gross disbursements,,,,449.8
2020,Million EUR,Gross disbursements,,,,1494.2
2021,Million EUR,Gross disbursements,,,,1826.5
2022,Million EUR,Gross disbursements,,,,2571.7
2023,Million EUR,Gross disbursements,,,,549.2
2024,Million EUR,Gross disbursements,,,,394.3
2010,"Million USD, constant prices (2024)",Commitments,,,,166.688
2011,"Million USD, constant prices (2024)",Commitments,,,,155.443
2012,"Million USD, constant prices (2024)",Commitments,,,,277.216
2013,"Million USD, constant prices (2024)",Commitments,,,,522.223
2014,"Million USD, constant prices (2024)",Commitments,,,,489.685
2015,"Million USD, constant prices (2024)",Commitments,,,,393.794
2016,"Million USD, constant prices (2024)",Commitments,,,,418.57
2017,"Million USD, constant prices (2024)",Commitments,,,,615.797
2018,"Million USD, constant prices (2024)",Commitments,,,,627.146
2019,"Million USD, constant prices (2024)",Commitments,,,,614.309
2020,"Million USD, constant prices (2024)",Commitments,,,,1853.364
2021,"Million USD, constant prices (2024)",Commitments,,,,3011.072
2022,"Million USD, constant prices (2024)",Commitments,,,,2133.652
2023,"Million USD, constant prices (2024)",Commitments,,,,523.194
2024,"Million USD, constant prices (2024)",Commitments,,,,440.367
2010,"Million USD, constant prices (2024)",Gross disbursements,,,,214.7
2011,"Million USD, constant prices (2024)",Gross disbursements,,,,142.1
2012,"Million USD, constant prices (2024)",Gross disbursements,,,,176.2
2013,"Million USD, constant prices (2024)",Gross disbursements,,,,263.9
2014,"Million USD, constant prices (2024)",Gross disbursements,,,,286.0
2015,"Million USD, constant prices (2024)",Gross disbursements,,,,362.6
2016,"Million USD, constant prices (2024)",Gross disbursements,,,,433.8
2017,"Million USD, constant prices (2024)",Gross disbursements,,,,522.5
2018,"Million USD, constant prices (2024)",Gross disbursements,,,,551.5
2019,"Million USD, constant prices (2024)",Gross disbursements,,,,595.1
2020,"Million USD, constant prices (2024)",Gross disbursements,,,,1942.9
2021,"Million USD, constant prices (2024)",Gross disbursements,,,,2312.7
2022,"Million USD, constant prices (2024)",Gross disbursements,,,,3059.9
2023,"Million USD, constant prices (2024)",Gross disbursements,,,,612.5
2024,"Million USD, constant prices (2024)",Gross disbursements,,,,426.4
