Year,Profession,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,.,,,
2011,,.,,,
2012,,r,,,350.44
2013,,r,,,360.95
2014,,r,,,367.88
2015,,r,,,371.17
2016,,r,,,378.58
2017,,r,,,385.21
2018,,r,,,395.0
2019,,r,,,402.54
2020,,r,,,410.36
2021,,r,,,417.5
2022,,r,,,414.81
2023,,,,,419.26
2024,,,,,428.52
2010,Pharmacists,,,,6.36
2011,Pharmacists,,,,6.35
2012,Pharmacists,r,,,6.22
2013,Pharmacists,r,,,6.33
2014,Pharmacists,r,,,6.43
2015,Pharmacists,r,,,6.48
2016,Pharmacists,r,,,6.34
2017,Pharmacists,r,,,6.51
2018,Pharmacists,r,,,6.63
2019,Pharmacists,r,,,6.74
2020,Pharmacists,r,,,6.83
2021,Pharmacists,r,,,6.83
2022,Pharmacists,r,,,6.73
2023,Pharmacists,,,,6.71
2024,Pharmacists,,,,6.7
2010,Medical doctors,,,,37.89
2011,Medical doctors,,,,38.72
2012,Medical doctors,r,,,39.41
2013,Medical doctors,r,,,40.33
2014,Medical doctors,r,,,41.15
2015,Medical doctors,r,,,41.34
2016,Medical doctors,r,,,42.06
2017,Medical doctors,r,,,42.77
2018,Medical doctors,r,,,43.48
2019,Medical doctors,r,,,44.41
2020,Medical doctors,r,,,45.34
2021,Medical doctors,r,,,46.01
2022,Medical doctors,r,,,45.76
2023,Medical doctors,,,,46.49
2024,Medical doctors,,,,47.5
2010,Nursing and midwifery personnel,,,,103.21
2011,Nursing and midwifery personnel,,,,104.07
2012,Nursing and midwifery personnel,r,,,104.67
2013,Nursing and midwifery personnel,r,,,108.2
2014,Nursing and midwifery personnel,r,,,110.1
2015,Nursing and midwifery personnel,r,,,109.94
2016,Nursing and midwifery personnel,r,,,112.0
2017,Nursing and midwifery personnel,r,,,114.48
2018,Nursing and midwifery personnel,r,,,119.1
2019,Nursing and midwifery personnel,r,,,122.26
2020,Nursing and midwifery personnel,r,,,125.17
2021,Nursing and midwifery personnel,r,,,125.21
2022,Nursing and midwifery personnel,r,,,123.82
2023,Nursing and midwifery personnel,r,,,125.46
2024,Nursing and midwifery personnel,,,,128.38
2010,Dentists,,,,8.23
2011,Dentists,,,,8.34
2012,Dentists,r,,,8.45
2013,Dentists,r,,,8.44
2014,Dentists,r,,,8.53
2015,Dentists,r,,,8.56
2016,Dentists,r,,,8.54
2017,Dentists,r,,,8.62
2018,Dentists,r,,,8.65
2019,Dentists,r,,,8.64
2020,Dentists,r,,,8.65
2021,Dentists,,,,8.66
2022,Dentists,r,,,8.53
2023,Dentists,,,,8.51
2024,Dentists,,,,8.61
