Year,Type of service,Value
2010,Schools with access to electricity,100
2011,Schools with access to electricity,100
2012,Schools with access to electricity,100
2013,Schools with access to electricity,100
2014,Schools with access to electricity,100
2015,Schools with access to electricity,100
2016,Schools with access to electricity,100
2017,Schools with access to electricity,100
2018,Schools with access to electricity,100
2019,Schools with access to electricity,100
2020,Schools with access to electricity,100
2021,Schools with access to electricity,100
2022,Schools with access to electricity,100
2023,Schools with access to electricity,100
2010,Schools with access to basic drinking water,100
2011,Schools with access to basic drinking water,100
2012,Schools with access to basic drinking water,100
2013,Schools with access to basic drinking water,100
2014,Schools with access to basic drinking water,100
2015,Schools with access to basic drinking water,100
2016,Schools with access to basic drinking water,100
2017,Schools with access to basic drinking water,100
2018,Schools with access to basic drinking water,100
2019,Schools with access to basic drinking water,100
2020,Schools with access to basic drinking water,100
2021,Schools with access to basic drinking water,100
2022,Schools with access to basic drinking water,100
2023,Schools with access to basic drinking water,100
2010,Schools with access to single-sex basic sanitation facilities,100
2011,Schools with access to single-sex basic sanitation facilities,100
2012,Schools with access to single-sex basic sanitation facilities,100
2013,Schools with access to single-sex basic sanitation facilities,100
2014,Schools with access to single-sex basic sanitation facilities,100
2015,Schools with access to single-sex basic sanitation facilities,100
2016,Schools with access to single-sex basic sanitation facilities,100
2017,Schools with access to single-sex basic sanitation facilities,100
2018,Schools with access to single-sex basic sanitation facilities,100
2019,Schools with access to single-sex basic sanitation facilities,100
2020,Schools with access to single-sex basic sanitation facilities,100
2021,Schools with access to single-sex basic sanitation facilities,100
2022,Schools with access to single-sex basic sanitation facilities,100
2023,Schools with access to single-sex basic sanitation facilities,100
2010,Schools with access to basic handwashing facilities,100
2011,Schools with access to basic handwashing facilities,100
2012,Schools with access to basic handwashing facilities,100
2013,Schools with access to basic handwashing facilities,100
2014,Schools with access to basic handwashing facilities,100
2015,Schools with access to basic handwashing facilities,100
2016,Schools with access to basic handwashing facilities,100
2017,Schools with access to basic handwashing facilities,100
2018,Schools with access to basic handwashing facilities,100
2019,Schools with access to basic handwashing facilities,100
2020,Schools with access to basic handwashing facilities,100
2021,Schools with access to basic handwashing facilities,100
2022,Schools with access to basic handwashing facilities,100
2023,Schools with access to basic handwashing facilities,100
