Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Number,.,,,
2011,Number,.,,,
2012,Number,.,,,
2013,Number,.,,,
2014,Number,.,,,
2015,Number,.,,,
2016,Number,.,,,
2017,Number,.,,,
2018,Number,r,,,3331.0
2019,Number,r,,,3259.0
2020,Number,r,,,3578.0
2021,Number,r,,,3817.0
2022,Number,r,,,4227.0
2023,Number,r,,,4521.0
2024,Number,,,,4994.0
2010,Percentage,.,,,
2011,Percentage,.,,,
2012,Percentage,.,,,
2013,Percentage,.,,,
2014,Percentage,.,,,
2015,Percentage,.,,,
2016,Percentage,.,,,
2017,Percentage,.,,,
2018,Percentage,,,,0.01
2019,Percentage,,,,0.01
2020,Percentage,,,,0.01
2021,Percentage,,,,0.01
2022,Percentage,,,,0.01
2023,Percentage,,,,0.01
2024,Percentage,,,,0.01
