Year,Type of account,Value
2010,,
2011,,
2012,,
2013,,
2014,,145480.0
2015,,148138.0
2016,,150897.0
2017,,151359.0
2018,,153183.0
2019,,155998.0
2020,,159637.0
2021,,163161.0
2022,,139612.0
2010,Online accounts,
2011,Online accounts,
2012,Online accounts,
2013,Online accounts,
2014,Online accounts,78631.0
2015,Online accounts,81488.0
2016,Online accounts,85985.0
2017,Online accounts,89337.0
2018,Online accounts,93527.0
2019,Online accounts,98968.0
2020,Online accounts,104023.0
2021,Online accounts,110759.0
2022,Online accounts,106120.0
2010,Current accounts,94982.0
2011,Current accounts,95684.0
2012,Current accounts,96858.0
2013,Current accounts,98512.0
2014,Current accounts,99875.0
2015,Current accounts,101661.0
2016,Current accounts,103844.0
2017,Current accounts,103846.0
2018,Current accounts,105927.0
2019,Current accounts,107946.0
2020,Current accounts,109636.0
2021,Current accounts,113879.0
2022,Current accounts,103368.0
