Year,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,,7.0
2011,,,,,,5.8
2012,,,,,,5.4
2013,,,,,,5.2
2014,,,,,,5.0
2015,,,,,,4.6
2016,,,,,,4.1
2017,,,,,,3.8
2018,,,,,,3.4
2019,,,,,,3.1
2020,,,|,,,3.9
2021,,,|,,,3.7
2022,,,,,,3.1
2023,,,,,,3.1
2010,15 to under 25 years,,,,,9.8
2011,15 to under 25 years,,,,,8.5
2012,15 to under 25 years,,,,,8.0
2013,15 to under 25 years,,,,,7.8
2014,15 to under 25 years,,,,,7.7
2015,15 to under 25 years,,,,,7.2
2016,15 to under 25 years,,,,,7.1
2017,15 to under 25 years,,,,,6.8
2018,15 to under 25 years,,,,,6.2
2019,15 to under 25 years,,,,,5.8
2020,15 to under 25 years,,|,,,7.1
2021,15 to under 25 years,,|,,,7.0
2022,15 to under 25 years,,,,,6.0
2023,15 to under 25 years,,,,,5.9
2010,25 to under 75 years,,,,,6.6
2011,25 to under 75 years,,,,,5.5
2012,25 to under 75 years,,,,,5.1
2013,25 to under 75 years,,,,,4.9
2014,25 to under 75 years,,,,,4.7
2015,25 to under 75 years,,,,,4.4
2016,25 to under 75 years,,,,,3.8
2017,25 to under 75 years,,,,,3.4
2018,25 to under 75 years,,,,,3.1
2019,25 to under 75 years,,,,,2.9
2020,25 to under 75 years,,|,,,3.5
2021,25 to under 75 years,,|,,,3.3
2022,25 to under 75 years,,,,,2.8
2023,25 to under 75 years,,,,,2.8
2010,,Female,,,,6.5
2011,,Female,,,,5.6
2012,,Female,,,,5.2
2013,,Female,,,,4.9
2014,,Female,,,,4.6
2015,,Female,,,,4.2
2016,,Female,,,,3.8
2017,,Female,,,,3.3
2018,,Female,,,,2.9
2019,,Female,,,,2.7
2020,,Female,|,,,3.4
2021,,Female,|,,,3.2
2022,,Female,,,,2.9
2023,,Female,,,,2.8
2010,,Male,,,,7.4
2011,,Male,,,,6.1
2012,,Male,,,,5.6
2013,,Male,,,,5.5
2014,,Male,,,,5.3
2015,,Male,,,,5.0
2016,,Male,,,,4.5
2017,,Male,,,,4.1
2018,,Male,,,,3.8
2019,,Male,,,,3.5
2020,,Male,|,,,4.2
2021,,Male,|,,,4.0
2022,,Male,,,,3.4
2023,,Male,,,,3.3
2010,15 to under 25 years,Female,,,,8.8
2011,15 to under 25 years,Female,,,,7.8
2012,15 to under 25 years,Female,,,,7.3
2013,15 to under 25 years,Female,,,,7.1
2014,15 to under 25 years,Female,,,,7.1
2015,15 to under 25 years,Female,,,,6.5
2016,15 to under 25 years,Female,,,,6.1
2017,15 to under 25 years,Female,,,,5.8
2018,15 to under 25 years,Female,,,,5.1
2019,15 to under 25 years,Female,,,,4.8
2020,15 to under 25 years,Female,|,,,6.7
2021,15 to under 25 years,Female,|,,,6.6
2022,15 to under 25 years,Female,,,,5.5
2023,15 to under 25 years,Female,,,,5.2
2010,15 to under 25 years,Male,,,,10.7
2011,15 to under 25 years,Male,,,,9.2
2012,15 to under 25 years,Male,,,,8.7
2013,15 to under 25 years,Male,,,,8.5
2014,15 to under 25 years,Male,,,,8.3
2015,15 to under 25 years,Male,,,,7.9
2016,15 to under 25 years,Male,,,,7.8
2017,15 to under 25 years,Male,,,,7.6
2018,15 to under 25 years,Male,,,,7.1
2019,15 to under 25 years,Male,,,,6.6
2020,15 to under 25 years,Male,|,,,7.5
2021,15 to under 25 years,Male,|,,,7.4
2022,15 to under 25 years,Male,,,,6.4
2023,15 to under 25 years,Male,,,,6.5
2010,25 to under 75 years,Female,,,,6.2
2011,25 to under 75 years,Female,,,,5.3
2012,25 to under 75 years,Female,,,,4.9
2013,25 to under 75 years,Female,,,,4.7
2014,25 to under 75 years,Female,,,,4.4
2015,25 to under 75 years,Female,,,,4.0
2016,25 to under 75 years,Female,,,,3.5
2017,25 to under 75 years,Female,,,,3.1
2018,25 to under 75 years,Female,,,,2.7
2019,25 to under 75 years,Female,,,,2.5
2020,25 to under 75 years,Female,|,,,3.1
2021,25 to under 75 years,Female,|,,,2.9
2022,25 to under 75 years,Female,,,,2.6
2023,25 to under 75 years,Female,,,,2.6
2010,25 to under 75 years,Male,,,,7.0
2011,25 to under 75 years,Male,,,,5.7
2012,25 to under 75 years,Male,,,,5.2
2013,25 to under 75 years,Male,,,,5.2
2014,25 to under 75 years,Male,,,,5.0
2015,25 to under 75 years,Male,,,,4.7
2016,25 to under 75 years,Male,,,,4.1
2017,25 to under 75 years,Male,,,,3.8
2018,25 to under 75 years,Male,,,,3.4
2019,25 to under 75 years,Male,,,,3.2
2020,25 to under 75 years,Male,|,,,3.9
2021,25 to under 75 years,Male,|,,,3.6
2022,25 to under 75 years,Male,,,,3.0
2023,25 to under 75 years,Male,,,,2.9
