Year,Economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2011,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2012,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2013,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2014,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2015,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2016,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2017,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2018,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2019,Accommodation for visitors: hotels and similar establishments,.,,,<u>Time series of the indicator:</u> Employed persons,
2020,Accommodation for visitors: hotels and similar establishments,,,,<u>Time series of the indicator:</u> Employed persons,433154.0
2021,Accommodation for visitors: hotels and similar establishments,,,,<u>Time series of the indicator:</u> Employed persons,458101.0
2022,Accommodation for visitors: hotels and similar establishments,,,,<u>Time series of the indicator:</u> Employed persons,493938.0
2023,Accommodation for visitors: hotels and similar establishments,,,,<u>Time series of the indicator:</u> Employed persons,498001.0
2010,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2011,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2012,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2013,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2014,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2015,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2016,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2017,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2018,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2019,Accommodation for visitors: other,.,,,<u>Time series of the indicator:</u> Employed persons,
2020,Accommodation for visitors: other,,,,<u>Time series of the indicator:</u> Employed persons,521462.0
2021,Accommodation for visitors: other,,,,<u>Time series of the indicator:</u> Employed persons,691160.0
2022,Accommodation for visitors: other,,,,<u>Time series of the indicator:</u> Employed persons,667494.0
2023,Accommodation for visitors: other,,,,<u>Time series of the indicator:</u> Employed persons,664668.0
2010,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2011,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2012,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2013,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2014,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2015,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2016,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2017,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2018,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2019,Food and beverage serving activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2020,Food and beverage serving activities,,,,<u>Time series of the indicator:</u> Employed persons,1336699.0
2021,Food and beverage serving activities,,,,<u>Time series of the indicator:</u> Employed persons,1457238.0
2022,Food and beverage serving activities,,,,<u>Time series of the indicator:</u> Employed persons,1514878.0
2023,Food and beverage serving activities,,,,<u>Time series of the indicator:</u> Employed persons,1541245.0
2022,Railway passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,25222.0
2023,Railway passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,25745.0
2010,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2011,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2012,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2013,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2014,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2015,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2016,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2017,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2018,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2019,Road passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2020,Road passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,164649.0
2021,Road passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,186530.0
2022,Road passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,194485.0
2023,Road passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,205032.0
2010,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2011,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2012,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2013,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2014,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2015,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2016,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2017,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2018,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2019,Water passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2020,Water passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,8614.0
2021,Water passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,8756.0
2022,Water passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,9206.0
2023,Water passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,8967.0
2010,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2011,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2012,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2013,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2014,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2015,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2016,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2017,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2018,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2019,Air passenger transport,.,,,<u>Time series of the indicator:</u> Employed persons,
2020,Air passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,58297.0
2021,Air passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,54734.0
2022,Air passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,52686.0
2023,Air passenger transport,,,,<u>Time series of the indicator:</u> Employed persons,57060.0
2010,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2011,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2012,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2013,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2014,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2015,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2016,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2017,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2018,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2019,Transport equipment rental,.,,,<u>Time series of the indicator:</u> Employed persons,
2020,Transport equipment rental,,,,<u>Time series of the indicator:</u> Employed persons,34896.0
2021,Transport equipment rental,,,,<u>Time series of the indicator:</u> Employed persons,41038.0
2022,Transport equipment rental,,,,<u>Time series of the indicator:</u> Employed persons,45861.0
2023,Transport equipment rental,,,,<u>Time series of the indicator:</u> Employed persons,43418.0
2010,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2011,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2012,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2013,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2014,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2015,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2016,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2017,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2018,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2019,Travel agencies and other reservation service activities,.,,,<u>Time series of the indicator:</u> Employed persons,
2020,Travel agencies and other reservation service activities,,,,<u>Time series of the indicator:</u> Employed persons,81779.0
2021,Travel agencies and other reservation service activities,,,,<u>Time series of the indicator:</u> Employed persons,79189.0
2022,Travel agencies and other reservation service activities,,,,<u>Time series of the indicator:</u> Employed persons,88512.0
2023,Travel agencies and other reservation service activities,,,,<u>Time series of the indicator:</u> Employed persons,84618.0
2021,Cultural activities,,,,<u>Time series of the indicator:</u> Employed persons,93922.0
2022,Cultural activities,,,,<u>Time series of the indicator:</u> Employed persons,104048.0
