Year,Units,Time series,Mode of transport,Value
2010,Million passenger-kilometre,Passenger transport,,1117240
2011,Million passenger-kilometre,Passenger transport,,1131004
2012,Million passenger-kilometre,Passenger transport,,1135558
2013,Million passenger-kilometre,Passenger transport,,1143475
2014,Million passenger-kilometre,Passenger transport,,1162942
2015,Million passenger-kilometre,Passenger transport,,1180646
2016,Million passenger-kilometre,Passenger transport,,1204775
2017,Million passenger-kilometre,Passenger transport,,1155136
2018,Million passenger-kilometre,Passenger transport,,1161885
2019,Million passenger-kilometre,Passenger transport,,1170186
2020,Million passenger-kilometre,Passenger transport,,945755
2010,Million passenger-kilometre,Passenger transport,Road transport,78092
2011,Million passenger-kilometre,Passenger transport,Road transport,77957
2012,Million passenger-kilometre,Passenger transport,Road transport,76019
2013,Million passenger-kilometre,Passenger transport,Road transport,76146
2014,Million passenger-kilometre,Passenger transport,Road transport,78786
2015,Million passenger-kilometre,Passenger transport,Road transport,81771
2016,Million passenger-kilometre,Passenger transport,Road transport,81445
2017,Million passenger-kilometre,Passenger transport,Road transport,79730
2018,Million passenger-kilometre,Passenger transport,Road transport,80103
2019,Million passenger-kilometre,Passenger transport,Road transport,78919
2020,Million passenger-kilometre,Passenger transport,Road transport,45735
2010,Million passenger-kilometre,Passenger transport,Rail transport,83886
2011,Million passenger-kilometre,Passenger transport,Rail transport,85414
2012,Million passenger-kilometre,Passenger transport,Rail transport,88795
2013,Million passenger-kilometre,Passenger transport,Rail transport,89615
2014,Million passenger-kilometre,Passenger transport,Rail transport,90976
2015,Million passenger-kilometre,Passenger transport,Rail transport,91603
2016,Million passenger-kilometre,Passenger transport,Rail transport,94196
2017,Million passenger-kilometre,Passenger transport,Rail transport,95530
2018,Million passenger-kilometre,Passenger transport,Rail transport,98061
2019,Million passenger-kilometre,Passenger transport,Rail transport,102026
2020,Million passenger-kilometre,Passenger transport,Rail transport,58816
2010,Million passenger-kilometre,Passenger transport,Air transport,52822
2011,Million passenger-kilometre,Passenger transport,Air transport,55215
2012,Million passenger-kilometre,Passenger transport,Air transport,56180
2013,Million passenger-kilometre,Passenger transport,Air transport,56294
2014,Million passenger-kilometre,Passenger transport,Air transport,58223
2015,Million passenger-kilometre,Passenger transport,Air transport,61543
2016,Million passenger-kilometre,Passenger transport,Air transport,63983
2017,Million passenger-kilometre,Passenger transport,Air transport,67523
2018,Million passenger-kilometre,Passenger transport,Air transport,70445
2019,Million passenger-kilometre,Passenger transport,Air transport,71841
2020,Million passenger-kilometre,Passenger transport,Air transport,18704
2010,Million passenger-kilometre,Passenger transport,Motorised private transport,902440
2011,Million passenger-kilometre,Passenger transport,Motorised private transport,912417
2012,Million passenger-kilometre,Passenger transport,Motorised private transport,914563
2013,Million passenger-kilometre,Passenger transport,Motorised private transport,921420
2014,Million passenger-kilometre,Passenger transport,Motorised private transport,934957
2015,Million passenger-kilometre,Passenger transport,Motorised private transport,945729
2016,Million passenger-kilometre,Passenger transport,Motorised private transport,965151
2017,Million passenger-kilometre,Passenger transport,Motorised private transport,912353
2018,Million passenger-kilometre,Passenger transport,Motorised private transport,913276
2019,Million passenger-kilometre,Passenger transport,Motorised private transport,917400
2020,Million passenger-kilometre,Passenger transport,Motorised private transport,822500
2010,Million tonne-kilometres,Freight transport,,627882
2011,Million tonne-kilometres,Freight transport,,628083
2012,Million tonne-kilometres,Freight transport,,618179
2013,Million tonne-kilometres,Freight transport,,634973
2014,Million tonne-kilometres,Freight transport,,642604
2015,Million tonne-kilometres,Freight transport,,655708
2016,Million tonne-kilometres,Freight transport,,676893
2017,Million tonne-kilometres,Freight transport,,692578
2018,Million tonne-kilometres,Freight transport,,694963
2019,Million tonne-kilometres,Freight transport,,697942
2020,Million tonne-kilometres,Freight transport,,670460
2010,Million tonne-kilometres,Freight transport,Road transport,440600
2011,Million tonne-kilometres,Freight transport,Road transport,442600
2012,Million tonne-kilometres,Freight transport,Road transport,432000
2013,Million tonne-kilometres,Freight transport,Road transport,442700
2014,Million tonne-kilometres,Freight transport,Road transport,451900
2015,Million tonne-kilometres,Freight transport,Road transport,464600
2016,Million tonne-kilometres,Freight transport,Road transport,473400
