Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,CO₂ emissions per real GDP,268.0
2011,,,,CO₂ emissions per real GDP,251.4
2012,,,,CO₂ emissions per real GDP,253.2
2013,,,,CO₂ emissions per real GDP,257.7
2014,,,,CO₂ emissions per real GDP,240.3
2015,,,,CO₂ emissions per real GDP,238.9
2016,,,,CO₂ emissions per real GDP,232.7
2017,,,,CO₂ emissions per real GDP,222.7
2018,r,,,CO₂ emissions per real GDP,213.0
2019,r,,,CO₂ emissions per real GDP,197.0
2020,r,,,CO₂ emissions per real GDP,187.6
2021,r,,,CO₂ emissions per real GDP,189.6
2022,p,,,CO₂ emissions per real GDP,184.2
2023,p,,,CO₂ emissions per real GDP,164.2
2010,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,317.1
2011,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,288.7
2012,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,288.4
2013,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,287.5
2014,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,271.2
2015,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,279.1
2016,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,272.6
2017,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,270.5
2018,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,257.3
2019,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,254.8
2020,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,268.9
2021,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,260.8
2022,p,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,237.6
2023,p,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,222.2
