Year,Enterprise definition,Technology sectors,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Legal entities,,,,,59.0
2011,Legal entities,,,,,59.0
2012,Legal entities,,,,,59.0
2013,Legal entities,,,,,59.0
2014,Legal entities,,,,,61.0
2015,Legal entities,,,,,61.0
2016,Legal entities,,,,,61.0
2017,Legal entities,,,,,61.0
2018,Legal entities,,,,,61.0
2019,Legal entities,,,,,61.0
2020,Legal entities,,,,,60.0
2021,Legal entities,,,,,60.0
2022,Legal entities,,…,,,
2010,Legal entities,Medium-high-tech,,,,49.0
2011,Legal entities,Medium-high-tech,,,,50.0
2012,Legal entities,Medium-high-tech,,,,50.0
2013,Legal entities,Medium-high-tech,,,,50.0
2014,Legal entities,Medium-high-tech,,,,51.0
2015,Legal entities,Medium-high-tech,,,,51.0
2016,Legal entities,Medium-high-tech,,,,51.0
2017,Legal entities,Medium-high-tech,,,,51.0
2018,Legal entities,Medium-high-tech,,,,51.0
2019,Legal entities,Medium-high-tech,,,,50.0
2020,Legal entities,Medium-high-tech,,,,49.0
2021,Legal entities,Medium-high-tech,,,,49.0
2022,Legal entities,Medium-high-tech,…,,,
2010,Legal entities,High-tech,,,,10.0
2011,Legal entities,High-tech,,,,10.0
2012,Legal entities,High-tech,,,,10.0
2013,Legal entities,High-tech,,,,10.0
2014,Legal entities,High-tech,,,,10.0
2015,Legal entities,High-tech,,,,10.0
2016,Legal entities,High-tech,,,,10.0
2017,Legal entities,High-tech,,,,10.0
2018,Legal entities,High-tech,,,,10.0
2019,Legal entities,High-tech,,,,11.0
2020,Legal entities,High-tech,,,,11.0
2021,Legal entities,High-tech,,,,11.0
2022,Legal entities,High-tech,…,,,
2010,EU enterprise definition,,,,,
2011,EU enterprise definition,,,,,
2012,EU enterprise definition,,,,,
2013,EU enterprise definition,,,,,
2014,EU enterprise definition,,,,,
2015,EU enterprise definition,,,,,
2016,EU enterprise definition,,,,,
2017,EU enterprise definition,,,,,
2018,EU enterprise definition,,,,,60.668
2019,EU enterprise definition,,,,,60.769
2020,EU enterprise definition,,,,,60.648
2021,EU enterprise definition,,,,,57.983
2022,EU enterprise definition,,,,,52.0
2010,EU enterprise definition,Medium-high-tech,,,,
2011,EU enterprise definition,Medium-high-tech,,,,
2012,EU enterprise definition,Medium-high-tech,,,,
2013,EU enterprise definition,Medium-high-tech,,,,
2014,EU enterprise definition,Medium-high-tech,,,,
2015,EU enterprise definition,Medium-high-tech,,,,
2016,EU enterprise definition,Medium-high-tech,,,,
2017,EU enterprise definition,Medium-high-tech,,,,
2018,EU enterprise definition,Medium-high-tech,,,,50.512
2019,EU enterprise definition,Medium-high-tech,,,,49.637
2020,EU enterprise definition,Medium-high-tech,,,,48.744
2021,EU enterprise definition,Medium-high-tech,,,,47.494
2022,EU enterprise definition,Medium-high-tech,,,,42.0
2010,EU enterprise definition,High-tech,,,,
2011,EU enterprise definition,High-tech,,,,
2012,EU enterprise definition,High-tech,,,,
2013,EU enterprise definition,High-tech,,,,
2014,EU enterprise definition,High-tech,,,,
2015,EU enterprise definition,High-tech,,,,
2016,EU enterprise definition,High-tech,,,,
2017,EU enterprise definition,High-tech,,,,
2018,EU enterprise definition,High-tech,,,,10.156
2019,EU enterprise definition,High-tech,,,,11.132
2020,EU enterprise definition,High-tech,,,,11.904
2021,EU enterprise definition,High-tech,,,,10.489
2022,EU enterprise definition,High-tech,,,,10.0
