Year,Time series,Value
2010,Goverment spending on environmental protection (COFOG section 5),15.479
2011,Goverment spending on environmental protection (COFOG section 5),15.796
2012,Goverment spending on environmental protection (COFOG section 5),16.569000000000006
2013,Goverment spending on environmental protection (COFOG section 5),17.375999999999998
2014,Goverment spending on environmental protection (COFOG section 5),17.689
2015,Goverment spending on environmental protection (COFOG section 5),17.795
2016,Goverment spending on environmental protection (COFOG section 5),19.279
2017,Goverment spending on environmental protection (COFOG section 5),20.672
2018,Goverment spending on environmental protection (COFOG section 5),22.021
2010,"Goverment spending on recreation, culture and religion (COFOG section 8)",20.992
2011,"Goverment spending on recreation, culture and religion (COFOG section 8)",21.55
2012,"Goverment spending on recreation, culture and religion (COFOG section 8)",20.681
2013,"Goverment spending on recreation, culture and religion (COFOG section 8)",29.03
2014,"Goverment spending on recreation, culture and religion (COFOG section 8)",30.52
2015,"Goverment spending on recreation, culture and religion (COFOG section 8)",31.142
2016,"Goverment spending on recreation, culture and religion (COFOG section 8)",32.285
2017,"Goverment spending on recreation, culture and religion (COFOG section 8)",33.277
2018,"Goverment spending on recreation, culture and religion (COFOG section 8)",34.961
