Year,Units,Sector,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,566.859
2011,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,748.48
2012,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,1075.52
2013,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,803.379
2014,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,696.313
2015,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,854.934
2016,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,591.005
2017,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,1263.616
2018,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,1416.619
2019,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,1223.479
2020,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,1135.461
2021,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,1052.936
2022,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,1400.488
2023,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,698.579
2024,Million EUR,Water supply and sanitation,Official Development Assistance,Commitments,,,,1393.622
2010,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,367.776
2011,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,64.273
2012,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,76.692
2013,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,228.64
2014,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,138.361
2015,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,668.163
2016,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,946.723
2017,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,421.653
2018,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,52.203
2019,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,793.824
2020,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,798.468
2021,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,642.954
2022,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,527.784
2023,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,839.404
2024,Million EUR,Transport and storage,Official Development Assistance,Commitments,,,,541.665
2010,Million EUR,Communications,Official Development Assistance,Commitments,,,,18.576
2011,Million EUR,Communications,Official Development Assistance,Commitments,,,,12.374
2012,Million EUR,Communications,Official Development Assistance,Commitments,,,,9.101
2013,Million EUR,Communications,Official Development Assistance,Commitments,,,,27.46
2014,Million EUR,Communications,Official Development Assistance,Commitments,,,,54.694
2015,Million EUR,Communications,Official Development Assistance,Commitments,,,,28.116
2016,Million EUR,Communications,Official Development Assistance,Commitments,,,,12.666
2017,Million EUR,Communications,Official Development Assistance,Commitments,,,,33.175
2018,Million EUR,Communications,Official Development Assistance,Commitments,,,,11.928
2019,Million EUR,Communications,Official Development Assistance,Commitments,,,,61.076
2020,Million EUR,Communications,Official Development Assistance,Commitments,,,,39.841
2021,Million EUR,Communications,Official Development Assistance,Commitments,,,,150.329
2022,Million EUR,Communications,Official Development Assistance,Commitments,,,,88.587
2023,Million EUR,Communications,Official Development Assistance,Commitments,,,,48.214
2024,Million EUR,Communications,Official Development Assistance,Commitments,,,,38.935
2010,Million EUR,Energy,Official Development Assistance,Commitments,,,,1813.137
2011,Million EUR,Energy,Official Development Assistance,Commitments,,,,1114.534
2012,Million EUR,Energy,Official Development Assistance,Commitments,,,,1043.354
2013,Million EUR,Energy,Official Development Assistance,Commitments,,,,1581.735
2014,Million EUR,Energy,Official Development Assistance,Commitments,,,,2974.079
2015,Million EUR,Energy,Official Development Assistance,Commitments,,,,2001.063
2016,Million EUR,Energy,Official Development Assistance,Commitments,,,,2332.488
2017,Million EUR,Energy,Official Development Assistance,Commitments,,,,2172.595
2018,Million EUR,Energy,Official Development Assistance,Commitments,,,,2931.578
2019,Million EUR,Energy,Official Development Assistance,Commitments,,,,2007.762
2020,Million EUR,Energy,Official Development Assistance,Commitments,,,,1594.5
2021,Million EUR,Energy,Official Development Assistance,Commitments,,,,1416.67
2022,Million EUR,Energy,Official Development Assistance,Commitments,,,,3563.555
2023,Million EUR,Energy,Official Development Assistance,Commitments,,,,3080.325
2024,Million EUR,Energy,Official Development Assistance,Commitments,,,,1987.54
2010,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,51.869
2011,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,313.286
2012,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,48.912
2013,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,135.842
2014,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,51.927
2015,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,90.856
2016,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,455.108
2017,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,204.952
2018,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,215.715
2019,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,280.982
2020,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,346.96
2021,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,137.054
2022,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,808.189
2023,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,437.784
2024,Million EUR,Urban development and management,Official Development Assistance,Commitments,,,,137.464
2010,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,449.387
2011,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,495.117
2012,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,450.456
2013,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,490.458
2014,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,686.944
2015,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,739.473
2016,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,743.538
2017,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,797.765
2018,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,837.61
2019,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,763.001
2020,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,824.907
2021,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,728.218
2022,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,771.218
2023,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,886.445
2024,Million EUR,Water supply and sanitation,Official Development Assistance,Gross disbursements,,,,1299.174
2010,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,134.292
2011,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,187.662
2012,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,163.622
2013,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,276.122
2014,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,105.962
2015,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,432.619
2016,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,378.383
2017,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,242.894
2018,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,273.935
2019,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,444.629
2020,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,346.776
2021,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,165.431
2022,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,247.648
2023,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,355.743
2024,Million EUR,Transport and storage,Official Development Assistance,Gross disbursements,,,,451.456
2010,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,20.555
2011,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,7.778
2012,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,5.479
2013,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,22.854
2014,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,57.058
2015,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,25.187
2016,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,13.898
2017,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,26.97
2018,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,8.941
2019,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,28.875
2020,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,36.512
2021,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,68.153
2022,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,82.24
2023,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,55.395
2024,Million EUR,Communications,Official Development Assistance,Gross disbursements,,,,50.404
2010,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1044.339
2011,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,895.864
2012,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,614.358
2013,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,924.214
2014,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1221.904
2015,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1621.932
2016,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1698.765
2017,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1492.676
2018,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1570.578
2019,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1600.496
2020,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1577.668
2021,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1375.152
2022,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,1988.187
2023,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,2238.748
2024,Million EUR,Energy,Official Development Assistance,Gross disbursements,,,,2663.402
2010,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,63.574
2011,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,88.251
2012,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,73.644
2013,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,48.583
2014,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,51.959
2015,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,65.08
2016,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,131.599
2017,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,152.943
2018,Million EUR,Urban development and management,Official Development Assistance,Gross disbursements,,,,230.109
