Year,Units,Value
2010,Million tonnes,1306.0
2011,Million tonnes,1379.0
2012,Million tonnes,1254.0
2013,Million tonnes,1266.0
2014,Million tonnes,1274.0
2015,Million tonnes,1198.0
2016,Million tonnes,1221.0
2010,t per capita,15.8
2011,t per capita,17.1
2012,t per capita,15.6
2013,t per capita,15.8
2014,t per capita,16.0
2010,Per real GDP (2010 = 100),100.0
2011,Per real GDP (2010 = 100),102.8
2012,Per real GDP (2010 = 100),93.5
2013,Per real GDP (2010 = 100),94.2
2014,Per real GDP (2010 = 100),94.3
