Year,Units,Stages of the food chain,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,"1,000 tonnes",,r,,,9147
2021,"1,000 tonnes",,,,,9214
2022,"1,000 tonnes",,,,,9040
2020,"1,000 tonnes",Restaurants and food services,r,,,1877
2021,"1,000 tonnes",Restaurants and food services,,,,1864
2022,"1,000 tonnes",Restaurants and food services,,,,1978
2020,"1,000 tonnes",Private households,,,,6496
2021,"1,000 tonnes",Private households,,,,6587
2022,"1,000 tonnes",Private households,,,,6289
2020,"1,000 tonnes",Retail and other distribution of food,r,,,774
2021,"1,000 tonnes",Retail and other distribution of food,,,,762
2022,"1,000 tonnes",Retail and other distribution of food,,,,774
2020,Kilogram per capita,,r,,,110
2021,Kilogram per capita,,,,,110
2022,Kilogram per capita,,,,,108
2020,Kilogram per capita,Private households,,,,78
2021,Kilogram per capita,Private households,,,,79
2022,Kilogram per capita,Private households,,,,75
2020,Kilogram per capita,Retail and other distribution of food,,,,9
2021,Kilogram per capita,Retail and other distribution of food,,,,9
2022,Kilogram per capita,Retail and other distribution of food,,,,9
2020,Kilogram per capita,Restaurants and food services,r,,,23
2021,Kilogram per capita,Restaurants and food services,,,,22
2022,Kilogram per capita,Restaurants and food services,,,,24
