Year,Units,Type of obligation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2011,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2012,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2013,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2014,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2015,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2016,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2017,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2018,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2019,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2020,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2021,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2022,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2023,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2024,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2025,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2026,"yes=1, no=0",Contracting Party,,,,(1) Basel Convention,1.0
2010,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2011,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2012,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2013,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2014,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2015,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2016,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2017,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2018,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2019,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2020,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2021,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2022,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2023,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2024,"yes=1, no=0",Fulfilment of reporting obligation,,,,(1) Basel Convention,1.0
2015,Percentage,Compliance with the agreement,,,,(1) Basel Convention,100.0
2020,Percentage,Compliance with the agreement,,,,(1) Basel Convention,100.0
2025,Percentage,Compliance with the agreement,,,,(1) Basel Convention,100.0
2010,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2011,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2012,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2013,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2014,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2015,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2016,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2017,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2018,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2019,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2020,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2021,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2022,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2023,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2024,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2025,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2026,"yes=1, no=0",Contracting Party,,,,(2) Montreal Protocol,1.0
2010,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2011,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2012,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2013,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2014,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2015,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2016,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2017,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2018,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2019,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2020,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2021,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2022,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2023,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2024,"yes=1, no=0",Fulfilment of reporting obligation,,,,(2) Montreal Protocol,1.0
2015,Percentage,Compliance with the agreement,,,,(2) Montreal Protocol,100.0
2020,Percentage,Compliance with the agreement,,,,(2) Montreal Protocol,100.0
2025,Percentage,Compliance with the agreement,,,,(2) Montreal Protocol,100.0
2010,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2011,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2012,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2013,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2014,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2015,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2016,"yes=1, no=0",Contracting Party,.,,,(3) Rotterdam Convention,1.0
2017,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2018,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2019,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2020,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2021,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2022,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2023,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2024,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2025,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2026,"yes=1, no=0",Contracting Party,,,,(3) Rotterdam Convention,1.0
2010,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2011,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2012,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2013,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2014,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2015,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2016,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2017,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2018,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2019,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2020,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2021,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
2022,"yes=1, no=0",Fulfilment of reporting obligation,,,,(3) Rotterdam Convention,1.0
