Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Number of pieces of platic waste per 100 meters of beach length,.,,,Plastic waste on the beaches of the German North Sea coast,
2011,Number of pieces of platic waste per 100 meters of beach length,.,,,Plastic waste on the beaches of the German North Sea coast,
2012,Number of pieces of platic waste per 100 meters of beach length,.,,,Plastic waste on the beaches of the German North Sea coast,
2013,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,113.0
2014,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,112.2
2015,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,83.25
2016,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,60.5
2017,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,63.0
2018,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,62.0
2019,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,57.0
2020,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,55.5
2021,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,43.5
2022,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,57.5
2023,Number of pieces of platic waste per 100 meters of beach length,,,,Plastic waste on the beaches of the German North Sea coast,45.5
2010,Percentage,,,,Plastic particles in fulmar stomachs,61.6
2011,Percentage,,,,Plastic particles in fulmar stomachs,61.4
2012,Percentage,,,,Plastic particles in fulmar stomachs,56.6
2013,Percentage,,,,Plastic particles in fulmar stomachs,56.4
2014,Percentage,,,,Plastic particles in fulmar stomachs,59.5
2015,Percentage,,,,Plastic particles in fulmar stomachs,59.0
2016,Percentage,,,,Plastic particles in fulmar stomachs,59.1
2017,Percentage,,,,Plastic particles in fulmar stomachs,58.9
2018,Percentage,,,,Plastic particles in fulmar stomachs,55.8
2019,Percentage,,,,Plastic particles in fulmar stomachs,51.2
2020,Percentage,,,,Plastic particles in fulmar stomachs,50.0
2021,Percentage,,,,Plastic particles in fulmar stomachs,48.5
