Year,Time series,Value
2010,ODA (commitments) for biodiversity,585.4
2011,ODA (commitments) for biodiversity,1153.0
2012,ODA (commitments) for biodiversity,977.6
2013,ODA (commitments) for biodiversity,957.1
2014,ODA (commitments) for biodiversity,1154.1
2015,ODA (commitments) for biodiversity,1287.2
2016,ODA (commitments) for biodiversity,1216.6
2017,ODA (commitments) for biodiversity,1919.5
2018,ODA (commitments) for biodiversity,1594.0
2019,ODA (commitments) for biodiversity,2305.1
2010,ODA (gross disbursements) to the forestry sector,64.5
2011,ODA (gross disbursements) to the forestry sector,60.4
2012,ODA (gross disbursements) to the forestry sector,99.7
2013,ODA (gross disbursements) to the forestry sector,91.3
2014,ODA (gross disbursements) to the forestry sector,76.4
2015,ODA (gross disbursements) to the forestry sector,76.5
2016,ODA (gross disbursements) to the forestry sector,72.7
2017,ODA (gross disbursements) to the forestry sector,82.6
2018,ODA (gross disbursements) to the forestry sector,123.8
