Year,Series,Value
2010,Documents issued for the import and export of protected species,22601
2011,Documents issued for the import and export of protected species,20687
2012,Documents issued for the import and export of protected species,21045
2013,Documents issued for the import and export of protected species,21364
2014,Documents issued for the import and export of protected species,23170
2015,Documents issued for the import and export of protected species,23093
2016,Documents issued for the import and export of protected species,24262
2017,Documents issued for the import and export of protected species,29470
2018,Documents issued for the import and export of protected species,31830
2019,Documents issued for the import and export of protected species,30319
2020,Documents issued for the import and export of protected species,19710
2021,Documents issued for the import and export of protected species,24001
2022,Documents issued for the import and export of protected species,21039
2023,Documents issued for the import and export of protected species,19032
2010,Seizures by authorities concerning the protection of species,946
2011,Seizures by authorities concerning the protection of species,935
2012,Seizures by authorities concerning the protection of species,811
2013,Seizures by authorities concerning the protection of species,748
2014,Seizures by authorities concerning the protection of species,692
2015,Seizures by authorities concerning the protection of species,1159
2016,Seizures by authorities concerning the protection of species,833
2017,Seizures by authorities concerning the protection of species,903
2018,Seizures by authorities concerning the protection of species,1249
2019,Seizures by authorities concerning the protection of species,1440
2020,Seizures by authorities concerning the protection of species,1234
2021,Seizures by authorities concerning the protection of species,1114
2022,Seizures by authorities concerning the protection of species,1027
