Year,Units,Time series,Sex,Age group,Value
2012,Percentage,Population subjected to physical violence,,,2.7
2017,Percentage,Population subjected to physical violence,,,3.0
2010,Percentage,Population who were victims of criminal offences,,,1.2
2011,Percentage,Population who were victims of criminal offences,,,1.2
2012,Percentage,Population who were victims of criminal offences,,,1.2
2013,Percentage,Population who were victims of criminal offences,,,1.2
2014,Percentage,Population who were victims of criminal offences,,,1.2
2015,Percentage,Population who were victims of criminal offences,,,1.2
2016,Percentage,Population who were victims of criminal offences,,,1.2
2017,Percentage,Population who were victims of criminal offences,,,1.2
2010,Number,Victims of criminal offences,,,932126.0
2011,Number,Victims of criminal offences,,,964945.0
2012,Number,Victims of criminal offences,,,976090.0
2013,Number,Victims of criminal offences,,,955737.0
2014,Number,Victims of criminal offences,,,947568.0
2015,Number,Victims of criminal offences,,,946133.0
2016,Number,Victims of criminal offences,,,1017602.0
2017,Number,Victims of criminal offences,,,1008510.0
2018,Number,Victims of criminal offences,,,1025241.0
2010,Number,Victims of criminal offences,Female,,382263.0
2011,Number,Victims of criminal offences,Female,,384661.0
2012,Number,Victims of criminal offences,Female,,391566.0
2013,Number,Victims of criminal offences,Female,,388258.0
2014,Number,Victims of criminal offences,Female,,384786.0
2015,Number,Victims of criminal offences,Female,,381892.0
2016,Number,Victims of criminal offences,Female,,403500.0
2017,Number,Victims of criminal offences,Female,,404035.0
2018,Number,Victims of criminal offences,Female,,414147.0
2010,Number,Victims of criminal offences,Male,,549863.0
2011,Number,Victims of criminal offences,Male,,580284.0
2012,Number,Victims of criminal offences,Male,,584524.0
2013,Number,Victims of criminal offences,Male,,567479.0
2014,Number,Victims of criminal offences,Male,,562782.0
2015,Number,Victims of criminal offences,Male,,564241.0
2016,Number,Victims of criminal offences,Male,,614102.0
2017,Number,Victims of criminal offences,Male,,604475.0
2018,Number,Victims of criminal offences,Male,,611094.0
2010,Number,Victims of criminal offences,,13 years and younger,72232.0
2011,Number,Victims of criminal offences,,13 years and younger,70429.0
2012,Number,Victims of criminal offences,,13 years and younger,67579.0
2013,Number,Victims of criminal offences,,13 years and younger,65334.0
2014,Number,Victims of criminal offences,,13 years and younger,64584.0
2015,Number,Victims of criminal offences,,13 years and younger,62342.0
2016,Number,Victims of criminal offences,,13 years and younger,67519.0
2017,Number,Victims of criminal offences,,13 years and younger,68820.0
2018,Number,Victims of criminal offences,,13 years and younger,70590.0
2010,Number,Victims of criminal offences,,14 to under 18 years,99135.0
2011,Number,Victims of criminal offences,,14 to under 18 years,92128.0
2012,Number,Victims of criminal offences,,14 to under 18 years,88020.0
2013,Number,Victims of criminal offences,,14 to under 18 years,81633.0
2014,Number,Victims of criminal offences,,14 to under 18 years,77948.0
2015,Number,Victims of criminal offences,,14 to under 18 years,74650.0
2016,Number,Victims of criminal offences,,14 to under 18 years,82930.0
2017,Number,Victims of criminal offences,,14 to under 18 years,84071.0
2018,Number,Victims of criminal offences,,14 to under 18 years,84175.0
2010,Number,Victims of criminal offences,,18 to under 21 years,109139.0
2011,Number,Victims of criminal offences,,18 to under 21 years,104427.0
2012,Number,Victims of criminal offences,,18 to under 21 years,99541.0
2013,Number,Victims of criminal offences,,18 to under 21 years,89880.0
2014,Number,Victims of criminal offences,,18 to under 21 years,83802.0
2015,Number,Victims of criminal offences,,18 to under 21 years,80941.0
2016,Number,Victims of criminal offences,,18 to under 21 years,88459.0
2017,Number,Victims of criminal offences,,18 to under 21 years,88834.0
2018,Number,Victims of criminal offences,,18 to under 21 years,89688.0
2010,Number,Victims of criminal offences,,21 to under 60 years,600019.0
2011,Number,Victims of criminal offences,,21 to under 60 years,644770.0
2012,Number,Victims of criminal offences,,21 to under 60 years,666152.0
2013,Number,Victims of criminal offences,,21 to under 60 years,662202.0
2014,Number,Victims of criminal offences,,21 to under 60 years,663253.0
2015,Number,Victims of criminal offences,,21 to under 60 years,668823.0
2016,Number,Victims of criminal offences,,21 to under 60 years,716502.0
2017,Number,Victims of criminal offences,,21 to under 60 years,704139.0
2018,Number,Victims of criminal offences,,21 to under 60 years,715629.0
2010,Number,Victims of criminal offences,,60 years and older,51601.0
2011,Number,Victims of criminal offences,,60 years and older,53191.0
2012,Number,Victims of criminal offences,,60 years and older,54798.0
2013,Number,Victims of criminal offences,,60 years and older,56688.0
2014,Number,Victims of criminal offences,,60 years and older,57981.0
2015,Number,Victims of criminal offences,,60 years and older,59377.0
2016,Number,Victims of criminal offences,,60 years and older,62192.0
2017,Number,Victims of criminal offences,,60 years and older,62646.0
2018,Number,Victims of criminal offences,,60 years and older,65159.0
