Year,Units,Time series,Fields of work,Level of court,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,Working-age population,,,,,,49.5
2011,Percentage,Working-age population,,,,,,49.8
2012,Percentage,Working-age population,,,,,,49.8
2013,Percentage,Working-age population,,,,,,49.7
2014,Percentage,Working-age population,,,,,,49.6
2015,Percentage,Working-age population,,,,,,49.4
2016,Percentage,Working-age population,,,,,,49.4
2017,Percentage,Working-age population,,,,,,49.4
2018,Percentage,Working-age population,,,,,,49.4
2019,Percentage,Working-age population,,,,,,49.4
2020,Percentage,Working-age population,,,,,,49.4
2021,Percentage,Working-age population,,,,,,49.4
2022,Percentage,Working-age population,,,,,,49.5
2023,Percentage,Working-age population,,,,,,49.4
2024,Percentage,Working-age population,,,…,,,
2025,Percentage,Working-age population,,,…,,,
2010,Percentage,German Bundestag (lower chamber),,,,,,32.8
2011,Percentage,German Bundestag (lower chamber),,,,,,33.1
2012,Percentage,German Bundestag (lower chamber),,,,,,32.9
2013,Percentage,German Bundestag (lower chamber),,,,,,32.9
2014,Percentage,German Bundestag (lower chamber),,,,,,36.5
2015,Percentage,German Bundestag (lower chamber),,,,,,36.3
2016,Percentage,German Bundestag (lower chamber),,,,,,36.8
2017,Percentage,German Bundestag (lower chamber),,,,,,37.1
2018,Percentage,German Bundestag (lower chamber),,,,,,30.9
2019,Percentage,German Bundestag (lower chamber),,,,,,31.2
2020,Percentage,German Bundestag (lower chamber),,,,,,31.3
2021,Percentage,German Bundestag (lower chamber),,,,,,31.5
2022,Percentage,German Bundestag (lower chamber),,,,,,34.9
2023,Percentage,German Bundestag (lower chamber),,,,,,35.1
2024,Percentage,German Bundestag (lower chamber),,,,,,35.3
2025,Percentage,German Bundestag (lower chamber),,,,,,35.6
2010,Percentage,Bundesrat (upper chamber),,,,,,18.8
2011,Percentage,Bundesrat (upper chamber),,,,,,24.6
2012,Percentage,Bundesrat (upper chamber),,,,,,27.5
2013,Percentage,Bundesrat (upper chamber),,,,,,29.0
2014,Percentage,Bundesrat (upper chamber),,,,,,34.8
2015,Percentage,Bundesrat (upper chamber),,,,,,40.6
2016,Percentage,Bundesrat (upper chamber),,,,,,37.7
2017,Percentage,Bundesrat (upper chamber),,,,,,39.1
2018,Percentage,Bundesrat (upper chamber),,,,,,39.1
2019,Percentage,Bundesrat (upper chamber),,,,,,36.2
2020,Percentage,Bundesrat (upper chamber),,,,,,34.8
2021,Percentage,Bundesrat (upper chamber),,,,,,33.3
2022,Percentage,Bundesrat (upper chamber),,,,,,31.9
2023,Percentage,Bundesrat (upper chamber),,,,,,37.7
2024,Percentage,Bundesrat (upper chamber),,,,,,37.7
2025,Percentage,Bundesrat (upper chamber),,,,,,34.8
2010,Percentage,Public service,,,,,,50.5
2011,Percentage,Public service,,,,,,50.2
2012,Percentage,Public service,,,,,,50.7
2013,Percentage,Public service,,,,,,51.1
2014,Percentage,Public service,,,,,,51.5
2015,Percentage,Public service,,,,,,51.9
2016,Percentage,Public service,,,,,,52.3
2017,Percentage,Public service,,,,,,52.6
2018,Percentage,Public service,,,,,,52.9
2019,Percentage,Public service,,,,,,53.3
2020,Percentage,Public service,,,,,,53.6
2021,Percentage,Public service,,,,,,54.0
2022,Percentage,Public service,,,,,,54.4
2023,Percentage,Public service,,,,,,51.7
2024,Percentage,Public service,,,…,,,
2025,Percentage,Public service,,,…,,,
2010,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,48.8
2011,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,49.2
2012,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,49.7
2013,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,50.2
2014,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,50.5
2015,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,50.9
2016,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,51.6
2017,Percentage,Public service,"Political leadership and central administration, foreign affairs",,,,,52.1
