Year,Sex,COMMENT_OBS_0,Value
2010,,.,
2011,,.,
2012,,.,
2013,,.,
2014,,.,
2015,,,92.17
2016,,.,
2017,,,93.6
2018,,.,
2019,,,94.19
2020,,.,
2021,,,94.92
2022,,.,
2023,,,91.62
2010,Female,.,
2011,Female,.,
2012,Female,.,
2013,Female,.,
2014,Female,.,
2015,Female,,92.34
2016,Female,.,
2017,Female,,94.33
2018,Female,.,
2019,Female,r,91.1
2020,Female,.,
2021,Female,,95.9
2022,Female,.,
2023,Female,,92.39
2010,Male,.,
2011,Male,.,
2012,Male,.,
2013,Male,.,
2014,Male,.,
2015,Male,,91.98
2016,Male,.,
2017,Male,,92.78
2018,Male,.,
2019,Male,,94.33
2020,Male,.,
2021,Male,,93.87
2022,Male,.,
2023,Male,,90.76
2010,Divers,.,
2011,Divers,.,
2012,Divers,.,
2013,Divers,.,
2014,Divers,.,
2015,Divers,.,
2016,Divers,.,
2017,Divers,.,
2018,Divers,.,
2019,Divers,,90.02
2020,Divers,.,
2021,Divers,,96.04
2022,Divers,.,
2023,Divers,,94.62
