Year,Sex,Age group,Migratory status,Income quintile,Degree of urbanisation,Education level,Country of citizenship,Marital status,Value
2010,,,,,,,,,
2011,,,,,,,,,
2012,,,,,,,,,
2013,,,,,,,,,
2014,,,,,,,,,
2015,,,,,,,,,13.0
2016,,,,,,,,,
2017,,,,,,,,,10.0
2018,,,,,,,,,
2019,,,,,,,,,9.0
2020,,,,,,,,,
2021,,,,,,,,,8.0
2010,Female,,,,,,,,
2011,Female,,,,,,,,
2012,Female,,,,,,,,
2013,Female,,,,,,,,
2014,Female,,,,,,,,
2015,Female,,,,,,,,13.0
2016,Female,,,,,,,,
2017,Female,,,,,,,,10.0
2018,Female,,,,,,,,
2019,Female,,,,,,,,8.0
2020,Female,,,,,,,,
2021,Female,,,,,,,,7.0
2010,Male,,,,,,,,
2011,Male,,,,,,,,
2012,Male,,,,,,,,
2013,Male,,,,,,,,
2014,Male,,,,,,,,
2015,Male,,,,,,,,13.0
2016,Male,,,,,,,,
2017,Male,,,,,,,,10.0
2018,Male,,,,,,,,
2019,Male,,,,,,,,9.0
2020,Male,,,,,,,,
2021,Male,,,,,,,,9.0
2010,Divers,,,,,,,,
2011,Divers,,,,,,,,
2012,Divers,,,,,,,,
2013,Divers,,,,,,,,
2014,Divers,,,,,,,,
2015,Divers,,,,,,,,
2016,Divers,,,,,,,,
2017,Divers,,,,,,,,
2018,Divers,,,,,,,,
2019,Divers,,,,,,,,23.0
2020,Divers,,,,,,,,
2021,Divers,,,,,,,,5.0
2010,,15 to under 20 years,,,,,,,
2011,,15 to under 20 years,,,,,,,
2012,,15 to under 20 years,,,,,,,
2013,,15 to under 20 years,,,,,,,
2014,,15 to under 20 years,,,,,,,
2015,,15 to under 20 years,,,,,,,8.0
2016,,15 to under 20 years,,,,,,,
2017,,15 to under 20 years,,,,,,,8.0
2018,,15 to under 20 years,,,,,,,
2019,,15 to under 20 years,,,,,,,7.0
2020,,15 to under 20 years,,,,,,,
2021,,15 to under 20 years,,,,,,,10.0
2010,,20 to under 25 years,,,,,,,
2011,,20 to under 25 years,,,,,,,
2012,,20 to under 25 years,,,,,,,
2013,,20 to under 25 years,,,,,,,
2014,,20 to under 25 years,,,,,,,
2015,,20 to under 25 years,,,,,,,14.0
2016,,20 to under 25 years,,,,,,,
2017,,20 to under 25 years,,,,,,,9.0
2018,,20 to under 25 years,,,,,,,
2019,,20 to under 25 years,,,,,,,8.0
2020,,20 to under 25 years,,,,,,,
2021,,20 to under 25 years,,,,,,,9.0
2010,,25 to under 30 years,,,,,,,
2011,,25 to under 30 years,,,,,,,
2012,,25 to under 30 years,,,,,,,
2013,,25 to under 30 years,,,,,,,
2014,,25 to under 30 years,,,,,,,
2015,,25 to under 30 years,,,,,,,15.0
2016,,25 to under 30 years,,,,,,,
2017,,25 to under 30 years,,,,,,,10.0
2018,,25 to under 30 years,,,,,,,
2019,,25 to under 30 years,,,,,,,11.0
2020,,25 to under 30 years,,,,,,,
2021,,25 to under 30 years,,,,,,,9.0
2010,,30 to under 35 years,,,,,,,
2011,,30 to under 35 years,,,,,,,
2012,,30 to under 35 years,,,,,,,
2013,,30 to under 35 years,,,,,,,
2014,,30 to under 35 years,,,,,,,
2015,,30 to under 35 years,,,,,,,10.0
2016,,30 to under 35 years,,,,,,,
2017,,30 to under 35 years,,,,,,,9.0
2018,,30 to under 35 years,,,,,,,
2019,,30 to under 35 years,,,,,,,10.0
2020,,30 to under 35 years,,,,,,,
2021,,30 to under 35 years,,,,,,,8.0
2010,,35 to under 40 years,,,,,,,
2011,,35 to under 40 years,,,,,,,
2012,,35 to under 40 years,,,,,,,
2013,,35 to under 40 years,,,,,,,
2014,,35 to under 40 years,,,,,,,
2015,,35 to under 40 years,,,,,,,13.0
2016,,35 to under 40 years,,,,,,,
2017,,35 to under 40 years,,,,,,,6.0
2018,,35 to under 40 years,,,,,,,
2019,,35 to under 40 years,,,,,,,9.0
2020,,35 to under 40 years,,,,,,,
2021,,35 to under 40 years,,,,,,,7.0
2010,,40 to under 45 years,,,,,,,
2011,,40 to under 45 years,,,,,,,
2012,,40 to under 45 years,,,,,,,
2013,,40 to under 45 years,,,,,,,
2014,,40 to under 45 years,,,,,,,
2015,,40 to under 45 years,,,,,,,11.0
2016,,40 to under 45 years,,,,,,,
2017,,40 to under 45 years,,,,,,,8.0
2018,,40 to under 45 years,,,,,,,
2019,,40 to under 45 years,,,,,,,7.0
2020,,40 to under 45 years,,,,,,,
2021,,40 to under 45 years,,,,,,,8.0
2010,,45 to under 50 years,,,,,,,
2011,,45 to under 50 years,,,,,,,
2012,,45 to under 50 years,,,,,,,
2013,,45 to under 50 years,,,,,,,
2014,,45 to under 50 years,,,,,,,
2015,,45 to under 50 years,,,,,,,10.0
2016,,45 to under 50 years,,,,,,,
2017,,45 to under 50 years,,,,,,,10.0
2018,,45 to under 50 years,,,,,,,
2019,,45 to under 50 years,,,,,,,8.0
2020,,45 to under 50 years,,,,,,,
2021,,45 to under 50 years,,,,,,,7.0
2010,,50 to under 55 years,,,,,,,
2011,,50 to under 55 years,,,,,,,
2012,,50 to under 55 years,,,,,,,
2013,,50 to under 55 years,,,,,,,
2014,,50 to under 55 years,,,,,,,
2015,,50 to under 55 years,,,,,,,14.0
2016,,50 to under 55 years,,,,,,,
2017,,50 to under 55 years,,,,,,,8.0
2018,,50 to under 55 years,,,,,,,
2019,,50 to under 55 years,,,,,,,7.0
2020,,50 to under 55 years,,,,,,,
2021,,50 to under 55 years,,,,,,,5.0
2010,,55 to under 60 years,,,,,,,
2011,,55 to under 60 years,,,,,,,
2012,,55 to under 60 years,,,,,,,
2013,,55 to under 60 years,,,,,,,
2014,,55 to under 60 years,,,,,,,
2015,,55 to under 60 years,,,,,,,14.0
2016,,55 to under 60 years,,,,,,,
