Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,Annual growth rate of real GDP,,,,4.1
2011,Percentage,Annual growth rate of real GDP,,,,3.8
2012,Percentage,Annual growth rate of real GDP,,,,0.5
2013,Percentage,Annual growth rate of real GDP,r,,,0.5
2014,Percentage,Annual growth rate of real GDP,,,,2.2
2015,Percentage,Annual growth rate of real GDP,r,,,1.8
2016,Percentage,Annual growth rate of real GDP,r,,,2.3
2017,Percentage,Annual growth rate of real GDP,r,,,2.9
2018,Percentage,Annual growth rate of real GDP,r,,,1.2
2019,Percentage,Annual growth rate of real GDP,r,,,1.1
2020,Percentage,Annual growth rate of real GDP,r,,,-4.0
2021,Percentage,Annual growth rate of real GDP,r,,,4.0
2022,Percentage,Annual growth rate of real GDP,,,,1.9
2023,Percentage,Annual growth rate of real GDP,p,,,-1.0
2024,Percentage,Annual growth rate of real GDP,0,p,,0.0
2025,Percentage,Annual growth rate of real GDP,p,,,0.2
2010,Billion EUR,Available income of private households,,,,1578.6
2011,Billion EUR,Available income of private households,,,,1628.1
2012,Billion EUR,Available income of private households,r,,,1664.0
2013,Billion EUR,Available income of private households,,,,1683.8
2014,Billion EUR,Available income of private households,r,,,1734.7
2015,Billion EUR,Available income of private households,r,,,1789.9
2016,Billion EUR,Available income of private households,r,,,1847.6
2017,Billion EUR,Available income of private households,r,,,1917.2
2018,Billion EUR,Available income of private households,r,,,1999.9
2019,Billion EUR,Available income of private households,r,,,2053.6
2020,Billion EUR,Available income of private households,r,,,2063.7
2021,Billion EUR,Available income of private households,r,,,2132.3
2022,Billion EUR,Available income of private households,,,,2318.5
2023,Billion EUR,Available income of private households,p,,,2471.2
2024,Billion EUR,Available income of private households,p,,,2590.2
2025,Billion EUR,Available income of private households,p,,,2662.9
2010,Billion EUR,Consumption by private households,,,,1417.1
2011,Billion EUR,Consumption by private households,r,,,1463.4
2012,Billion EUR,Consumption by private households,r,,,1504.9
2013,Billion EUR,Consumption by private households,r,,,1531.8
2014,Billion EUR,Consumption by private households,r,,,1565.2
2015,Billion EUR,Consumption by private households,r,,,1612.2
2016,Billion EUR,Consumption by private households,r,,,1663.7
2017,Billion EUR,Consumption by private households,r,,,1721.2
2018,Billion EUR,Consumption by private households,r,,,1781.1
2019,Billion EUR,Consumption by private households,r,,,1842.6
2020,Billion EUR,Consumption by private households,r,,,1732.1
2021,Billion EUR,Consumption by private households,r,,,1830.2
2022,Billion EUR,Consumption by private households,,,,2080.9
2023,Billion EUR,Consumption by private households,p,,,2215.1
2024,Billion EUR,Consumption by private households,p,,,2297.7
2025,Billion EUR,Consumption by private households,p,,,2382.9
2010,Billion EUR,Debts of the total public budget,,,,2011.7
2011,Billion EUR,Debts of the total public budget,,,,2025.4
2012,Billion EUR,Debts of the total public budget,,,,2068.3
2013,Billion EUR,Debts of the total public budget,,,,2043.3
2014,Billion EUR,Debts of the total public budget,,,,2043.9
2015,Billion EUR,Debts of the total public budget,,,,2020.7
2016,Billion EUR,Debts of the total public budget,,,,2009.3
2017,Billion EUR,Debts of the total public budget,,,,1969.1
2018,Billion EUR,Debts of the total public budget,,,,1915.8
2019,Billion EUR,Debts of the total public budget,,,,1899.1
2020,Billion EUR,Debts of the total public budget,,,,2172.9
2021,Billion EUR,Debts of the total public budget,,,,2321.0
2022,Billion EUR,Debts of the total public budget,,,,2368.0
