Year,Units,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Official Development Assistance,Commitments,,,,915.979
2011,Million EUR,Official Development Assistance,Commitments,,,,809.223
2012,Million EUR,Official Development Assistance,Commitments,,,,740.52
2013,Million EUR,Official Development Assistance,Commitments,,,,835.927
2014,Million EUR,Official Development Assistance,Commitments,,,,1115.451
2015,Million EUR,Official Development Assistance,Commitments,,,,1578.019
2016,Million EUR,Official Development Assistance,Commitments,,,,1278.447
2017,Million EUR,Official Development Assistance,Commitments,,,,2141.104
2018,Million EUR,Official Development Assistance,Commitments,,,,1733.447
2019,Million EUR,Official Development Assistance,Commitments,,,,1873.352
2020,Million EUR,Official Development Assistance,Commitments,,,,3043.442
2021,Million EUR,Official Development Assistance,Commitments,,,,2889.194
2022,Million EUR,Official Development Assistance,Commitments,,,,2922.855
2023,Million EUR,Official Development Assistance,Commitments,,,,3486.589
2024,Million EUR,Official Development Assistance,Commitments,,,,2512.359
2010,Million EUR,Official Development Assistance,Gross disbursements,,,,674.991
2011,Million EUR,Official Development Assistance,Gross disbursements,,,,703.802
2012,Million EUR,Official Development Assistance,Gross disbursements,,,,743.479
2013,Million EUR,Official Development Assistance,Gross disbursements,,,,819.911
2014,Million EUR,Official Development Assistance,Gross disbursements,,,,929.041
2015,Million EUR,Official Development Assistance,Gross disbursements,,,,1301.967
2016,Million EUR,Official Development Assistance,Gross disbursements,,,,1210.381
2017,Million EUR,Official Development Assistance,Gross disbursements,,,,1536.772
2018,Million EUR,Official Development Assistance,Gross disbursements,,,,1777.038
2019,Million EUR,Official Development Assistance,Gross disbursements,,,,1571.422
2020,Million EUR,Official Development Assistance,Gross disbursements,,,,2213.092
2021,Million EUR,Official Development Assistance,Gross disbursements,,,,2363.1
2022,Million EUR,Official Development Assistance,Gross disbursements,,,,2751.262
2023,Million EUR,Official Development Assistance,Gross disbursements,,,,2322.643
2024,Million EUR,Official Development Assistance,Gross disbursements,,,,3495.474
2010,Million EUR,Other Official Flows,Commitments,,,,0.0
2011,Million EUR,Other Official Flows,Commitments,,,,0.0
2012,Million EUR,Other Official Flows,Commitments,,,,0.0
2013,Million EUR,Other Official Flows,Commitments,,,,0.0
2014,Million EUR,Other Official Flows,Commitments,,,,0.0
2015,Million EUR,Other Official Flows,Commitments,,,,0.0
2016,Million EUR,Other Official Flows,Commitments,,,,0.0
2017,Million EUR,Other Official Flows,Commitments,,,,0.0
2018,Million EUR,Other Official Flows,Commitments,,,,373.855
2019,Million EUR,Other Official Flows,Commitments,,,,155.77
2020,Million EUR,Other Official Flows,Commitments,,,,182.196
2021,Million EUR,Other Official Flows,Commitments,,,,52.668
2022,Million EUR,Other Official Flows,Commitments,,,,50.0
2023,Million EUR,Other Official Flows,Commitments,,,,0.0
2024,Million EUR,Other Official Flows,Commitments,,,,0.0
2010,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2011,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2012,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2013,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2014,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2015,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2016,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2017,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2018,Million EUR,Other Official Flows,Gross disbursements,,,,373.855
2019,Million EUR,Other Official Flows,Gross disbursements,,,,155.77
2020,Million EUR,Other Official Flows,Gross disbursements,,,,182.196
2021,Million EUR,Other Official Flows,Gross disbursements,,,,52.668
2022,Million EUR,Other Official Flows,Gross disbursements,,,,50.0
2023,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2024,Million EUR,Other Official Flows,Gross disbursements,,,,0.0
2010,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1405.173
2011,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1226.298
2012,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1106.311
2013,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1224.397
2014,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1603.408
2015,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2229.462
2016,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,1783.725
2017,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2944.007
2018,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2339.682
2019,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2478.61
2020,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,3957.389
2021,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,3658.377
2022,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,3477.692
2023,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,3888.109
2024,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,2717.239
2010,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1035.482
2011,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1066.543
2012,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1110.732
2013,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1200.938
2014,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1335.452
2015,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1839.449
2016,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,1688.757
2017,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2113.054
2018,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2398.518
2019,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2079.13
2020,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2877.684
2021,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2992.223
2022,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,3273.526
2023,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,2590.122
2024,"Million USD, constant prices (2024)",Official Development Assistance,Gross disbursements,,,,3780.526
2010,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2011,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2012,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2013,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2014,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2015,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2016,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2017,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2018,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,504.602
2019,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,206.098
2020,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,236.909
2021,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,66.69
2022,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,59.491
2023,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2024,"Million USD, constant prices (2024)",Other Official Flows,Commitments,,,,0.0
2010,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2011,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2012,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2013,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2014,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2015,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2016,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2017,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2018,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,504.602
2019,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,206.098
2020,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,236.909
2021,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,66.69
2022,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,59.491
2023,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
2024,"Million USD, constant prices (2024)",Other Official Flows,Gross disbursements,,,,0.0
