Year,Percentiles,Sex,Value
2005,P5,Female,
2006,P5,Female,1085.0
2007,P5,Female,
2005,P10,Female,
2006,P10,Female,1231.0
2007,P10,Female,
2005,P25,Female,
2006,P25,Female,1501.0
2007,P25,Female,
2005,P50,Female,
2006,P50,Female,1833.0
2007,P50,Female,
2005,P75,Female,
2006,P75,Female,2234.0
2007,P75,Female,
2005,P90,Female,
2006,P90,Female,2678.0
2007,P90,Female,
2005,P95,Female,
2006,P95,Female,3018.0
2007,P95,Female,
2005,P5,Male,
2006,P5,Male,1394.0
2007,P5,Male,
2005,P10,Male,
2006,P10,Male,1585.0
2007,P10,Male,
2005,P25,Male,
2006,P25,Male,1962.0
2007,P25,Male,
2005,P50,Male,
2006,P50,Male,2413.0
2007,P50,Male,
2005,P75,Male,
2006,P75,Male,3024.0
2007,P75,Male,
2005,P90,Male,
2006,P90,Male,3719.0
2007,P90,Male,
2005,P95,Male,
2006,P95,Male,4268.0
2007,P95,Male,
