Year,Units,Value
2010,Million EUR,202.7
2011,Million EUR,247.8
2012,Million EUR,218.1
2013,Million EUR,312.2
2014,Million EUR,268.4
2015,Million EUR,485.0
2016,Million EUR,518.8
2017,Million EUR,569.7
2018,Million EUR,482.5
2019,Million EUR,536.5
2020,Million EUR,798.4
2010,"Million USD, constant prices (2020)",272.6
2011,"Million USD, constant prices (2020)",329.7
2012,"Million USD, constant prices (2020)",286.0
2013,"Million USD, constant prices (2020)",401.4
2014,"Million USD, constant prices (2020)",338.8
2015,"Million USD, constant prices (2020)",601.1
2016,"Million USD, constant prices (2020)",634.5
2017,"Million USD, constant prices (2020)",686.4
2018,"Million USD, constant prices (2020)",570.0
2019,"Million USD, constant prices (2020)",621.1
2020,"Million USD, constant prices (2020)",909.9
