Year,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Child deliveries in hospitals,,,,656390
2011,Child deliveries in hospitals,,,,642197
2012,Child deliveries in hospitals,,,,653215
2013,Child deliveries in hospitals,,,,661138
2014,Child deliveries in hospitals,,,,692794
2015,Child deliveries in hospitals,,,,716539
2016,Child deliveries in hospitals,,,,761777
2017,Child deliveries in hospitals,,,,762343
2018,Child deliveries in hospitals,,,,757878
2019,Child deliveries in hospitals,,,,748492
2020,Child deliveries in hospitals,,,,743899
2021,Child deliveries in hospitals,,,,765694
2022,Child deliveries in hospitals,,,,711125
2023,Child deliveries in hospitals,,,,667705
2010,Live births in total,,,,677947
2011,Live births in total,,,,662685
2012,Live births in total,,,,673544
2013,Live births in total,,,,682069
2014,Live births in total,,,,714927
2015,Live births in total,,,,737575
2016,Live births in total,,,,792141
2017,Live births in total,,,,784901
2018,Live births in total,,,,787523
2019,Live births in total,,,,778090
2020,Live births in total,,,,773144
2021,Live births in total,,,,795492
2022,Live births in total,,,,738819
2023,Live births in total,,,,692989
