Year,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,11 months and younger,,,,,3.4
2011,11 months and younger,,,,,3.6
2012,11 months and younger,,,,,3.3
2013,11 months and younger,,,,,3.3
2014,11 months and younger,,,,,3.2
2015,11 months and younger,,,,,3.3
2016,11 months and younger,,,,,3.4
2017,11 months and younger,,,,,3.3
2018,11 months and younger,,,,,3.2
2019,11 months and younger,,,,,3.2
2020,11 months and younger,,,,,3.1
2021,11 months and younger,,,,,3.0
2022,11 months and younger,,,,,3.2
2023,11 months and younger,,,,,3.2
2024,11 months and younger,,,,,3.3
2010,4 years and younger,,,,,4.1
2011,4 years and younger,,,,,4.3
2012,4 years and younger,,,,,3.9
2013,4 years and younger,,,,,3.9
2014,4 years and younger,,,,,3.8
2015,4 years and younger,,,,,3.9
2016,4 years and younger,,,,,4.0
2017,4 years and younger,,,,,3.8
2018,4 years and younger,,,,,3.7
2019,4 years and younger,,,,,3.8
2020,4 years and younger,,,,,3.6
2021,4 years and younger,,,,,3.5
2022,4 years and younger,,,,,3.8
2023,4 years and younger,,,,,3.9
2024,4 years and younger,,,,,4.0
2010,11 months and younger,Female,,,,3.1
2011,11 months and younger,Female,,,,3.3
2012,11 months and younger,Female,,,,3.0
2013,11 months and younger,Female,,,,3.0
2014,11 months and younger,Female,,,,2.9
2015,11 months and younger,Female,,,,3.1
2016,11 months and younger,Female,,,,3.1
2017,11 months and younger,Female,,,,3.0
2018,11 months and younger,Female,,,,2.9
2019,11 months and younger,Female,,,,2.9
2020,11 months and younger,Female,,,,2.9
2021,11 months and younger,Female,,,,2.7
2022,11 months and younger,Female,,,,3.0
2023,11 months and younger,Female,,,,2.9
2024,11 months and younger,Female,,,,3.1
2010,4 years and younger,Female,,,,3.8
2011,4 years and younger,Female,,,,3.9
2012,4 years and younger,Female,,,,3.6
2013,4 years and younger,Female,,,,3.5
2014,4 years and younger,Female,,,,3.5
2015,4 years and younger,Female,,,,3.7
2016,4 years and younger,Female,,,,3.6
2017,4 years and younger,Female,,,,3.5
2018,4 years and younger,Female,,,,3.5
2019,4 years and younger,Female,,,,3.4
2020,4 years and younger,Female,,,,3.4
2021,4 years and younger,Female,,,,3.3
2022,4 years and younger,Female,,,,3.6
2023,4 years and younger,Female,,,,3.6
2024,4 years and younger,Female,,,,3.7
2010,11 months and younger,Male,,,,3.7
2011,11 months and younger,Male,,,,4.0
2012,11 months and younger,Male,,,,3.5
2013,11 months and younger,Male,,,,3.6
2014,11 months and younger,Male,,,,3.5
2015,11 months and younger,Male,,,,3.4
2016,11 months and younger,Male,,,,3.7
2017,11 months and younger,Male,,,,3.5
2018,11 months and younger,Male,,,,3.5
2019,11 months and younger,Male,,,,3.5
2020,11 months and younger,Male,,,,3.2
2021,11 months and younger,Male,,,,3.2
2022,11 months and younger,Male,,,,3.3
2023,11 months and younger,Male,,,,3.4
2024,11 months and younger,Male,,,,3.5
2010,4 years and younger,Male,,,,4.5
2011,4 years and younger,Male,,,,4.7
2012,4 years and younger,Male,,,,4.2
2013,4 years and younger,Male,,,,4.3
2014,4 years and younger,Male,,,,4.0
2015,4 years and younger,Male,,,,4.1
2016,4 years and younger,Male,,,,4.3
2017,4 years and younger,Male,,,,4.1
2018,4 years and younger,Male,,,,4.1
2019,4 years and younger,Male,,,,4.2
2020,4 years and younger,Male,,,,3.7
2021,4 years and younger,Male,,,,3.8
2022,4 years and younger,Male,,,,4.0
2023,4 years and younger,Male,,,,4.2
2024,4 years and younger,Male,,,,4.2
