Year,Units,Type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,37785.0
2011,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,35302.0
2012,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,28098.0
2013,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,30869.0
2014,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,28954.0
2015,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,27045.0
2016,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,25262.0
2017,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,24603.0
2018,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,25444.0
2019,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,18497.0
2020,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,16561.0
2021,Attributable deaths,,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,18186.0
2022,Attributable deaths,,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,16531.0
2023,Attributable deaths,,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,11746.0
2010,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3677.0
2011,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3511.0
2012,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2726.0
2013,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3235.0
2014,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2979.0
