Year,Time series,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Current tobacco use,,.,,,
2011,Current tobacco use,,.,,,
2012,Current tobacco use,,.,,,
2013,Current tobacco use,,,,,24.5
2014,Current tobacco use,,.,,,
2015,Current tobacco use,,.,,,
2016,Current tobacco use,,.,,,
2017,Current tobacco use,,,,,22.4
2018,Current tobacco use,,.,,,
2019,Current tobacco use,,.,,,
2020,Current tobacco use,,.,,,
2021,Current tobacco use,,,,,18.9
2022,Current tobacco use,,.,,,
2023,Current tobacco use,,.,,,
2024,Current tobacco use,,.,,,
2025,Current tobacco use,,,,,19.1
2010,Current tobacco use,Female,.,,,
2011,Current tobacco use,Female,.,,,
2012,Current tobacco use,Female,.,,,
2013,Current tobacco use,Female,,,,20.3
2014,Current tobacco use,Female,.,,,
2015,Current tobacco use,Female,.,,,
2016,Current tobacco use,Female,.,,,
2017,Current tobacco use,Female,,,,18.6
2018,Current tobacco use,Female,.,,,
2019,Current tobacco use,Female,.,,,
2020,Current tobacco use,Female,.,,,
2021,Current tobacco use,Female,,,,15.7
2022,Current tobacco use,Female,.,,,
2023,Current tobacco use,Female,.,,,
2024,Current tobacco use,Female,.,,,
2025,Current tobacco use,Female,,,,15.8
2010,Current tobacco use,Male,.,,,
2011,Current tobacco use,Male,.,,,
2012,Current tobacco use,Male,.,,,
2013,Current tobacco use,Male,,,,29.0
2014,Current tobacco use,Male,.,,,
2015,Current tobacco use,Male,.,,,
2016,Current tobacco use,Male,.,,,
2017,Current tobacco use,Male,,,,26.4
2018,Current tobacco use,Male,.,,,
2019,Current tobacco use,Male,.,,,
2020,Current tobacco use,Male,.,,,
2021,Current tobacco use,Male,,,,22.3
2022,Current tobacco use,Male,.,,,
2023,Current tobacco use,Male,.,,,
2024,Current tobacco use,Male,.,,,
2025,Current tobacco use,Male,,,,22.4
2010,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2011,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2012,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2013,Current tobacco use (age-standardised to WHO Standard Population),,,,,27.6
2014,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2015,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2016,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2017,Current tobacco use (age-standardised to WHO Standard Population),,,,,24.4
2018,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2019,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2020,Current tobacco use (age-standardised to WHO Standard Population),,.,,,
2021,Current tobacco use (age-standardised to WHO Standard Population),,,,,20.2
2022,Current tobacco use (age-standardised to WHO Standard Population),,…,,,
2023,Current tobacco use (age-standardised to WHO Standard Population),,…,,,
2024,Current tobacco use (age-standardised to WHO Standard Population),,…,,,
2025,Current tobacco use (age-standardised to WHO Standard Population),,…,,,
