Year,Education level,Subject,Value
2011,b) At the end of lower primary education,Reading,97.6
2016,b) At the end of lower primary education,Reading,94.5
2011,b) At the end of lower primary education,Mathematics,97.3
2015,b) At the end of lower primary education,Mathematics,96.3
2012,c) At the end of lower secondary education,Reading,85.6
2015,c) At the end of lower secondary education,Reading,83.7
2018,c) At the end of lower secondary education,Reading,79.3
2012,c) At the end of lower secondary education,Mathematics,82.3
2015,c) At the end of lower secondary education,Mathematics,82.8
2018,c) At the end of lower secondary education,Mathematics,78.8
