Year,Type of ICT competence,Age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Copying or moving of files and folders,16 to under 25 years,.,,,
2011,Copying or moving of files and folders,16 to under 25 years,,,,94.0
2012,Copying or moving of files and folders,16 to under 25 years,,,,87.0
2013,Copying or moving of files and folders,16 to under 25 years,.,,,
2014,Copying or moving of files and folders,16 to under 25 years,,,,94.0
2015,Copying or moving of files and folders,16 to under 25 years,,,,87.0
2016,Copying or moving of files and folders,16 to under 25 years,,,,86.0
2017,Copying or moving of files and folders,16 to under 25 years,,,,84.0
2018,Copying or moving of files and folders,16 to under 25 years,.,,,
2019,Copying or moving of files and folders,16 to under 25 years,,,,82.0
2020,Copying or moving of files and folders,16 to under 25 years,.,,,
2021,Copying or moving of files and folders,16 to under 25 years,.,,,
2022,Copying or moving of files and folders,16 to under 25 years,.,,,
2023,Copying or moving of files and folders,16 to under 25 years,.,,,
2024,Copying or moving of files and folders,16 to under 25 years,.,,,
2025,Copying or moving of files and folders,16 to under 25 years,.,,,
2010,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2011,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,,,,92.0
2012,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,,,,85.0
2013,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2014,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,,,,93.0
2015,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2016,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2017,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2018,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2019,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2020,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2021,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2022,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2023,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2024,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2025,Using copy or cut and paste tools to duplicate or move information on screen,16 to under 25 years,.,,,
2010,Writing code in a programming language,16 to under 25 years,.,,,
2011,Writing code in a programming language,16 to under 25 years,.,,,
2012,Writing code in a programming language,16 to under 25 years,.,,,
2013,Writing code in a programming language,16 to under 25 years,.,,,
2014,Writing code in a programming language,16 to under 25 years,.,,,
2015,Writing code in a programming language,16 to under 25 years,,,,12.0
2016,Writing code in a programming language,16 to under 25 years,,,,13.0
2017,Writing code in a programming language,16 to under 25 years,,,,12.0
2018,Writing code in a programming language,16 to under 25 years,.,,,
2019,Writing code in a programming language,16 to under 25 years,,,,14.0
2020,Writing code in a programming language,16 to under 25 years,.,,,
2021,Writing code in a programming language,16 to under 25 years,|,,,10.1
2022,Writing code in a programming language,16 to under 25 years,.,,,
2023,Writing code in a programming language,16 to under 25 years,,,,9.5
2024,Writing code in a programming language,16 to under 25 years,.,,,
2025,Writing code in a programming language,16 to under 25 years,,,,9.6
2010,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,.,,,
2011,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,,,,62.0
2012,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,,,,57.0
2013,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,.,,,
2014,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,,,,62.0
2015,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,.,,,
2016,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,.,,,
2017,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,.,,,
2018,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,.,,,
2019,"Connecting and installing new devices, eg a printer or a modem",16 to under 25 years,.,,,
