Year,Indicator,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,SDG indicator 4.2.2 (5 years),,,,1.0
2011,SDG indicator 4.2.2 (5 years),,,,1.0
2012,SDG indicator 4.2.2 (5 years),,,,1.0
2013,SDG indicator 4.2.2 (5 years),,,,1.0
2014,SDG indicator 4.2.2 (5 years),,,,1.01
2015,SDG indicator 4.2.2 (5 years),,,,1.01
2016,SDG indicator 4.2.2 (5 years),,,,1.01
2017,SDG indicator 4.2.2 (5 years),,,,1.0
2018,SDG indicator 4.2.2 (5 years),,,,1.0
2019,SDG indicator 4.2.2 (5 years),,,,1.01
2020,SDG indicator 4.2.2 (5 years),,,,1.0
2021,SDG indicator 4.2.2 (5 years),,,,1.0
2022,SDG indicator 4.2.2 (5 years),,,,1.0
2023,SDG indicator 4.2.2 (5 years),,,,1.0
2010,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.02
2011,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.03
2012,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.02
2013,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.01
2014,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.01
2015,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.01
2016,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.01
2017,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.01
2018,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.025
2019,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.03
2020,SDG-Indicator 4.3.1 (15 to under 25 years),|,,,1.02
2021,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.044
2022,SDG-Indicator 4.3.1 (15 to under 25 years),,,,1.04
2023,SDG-Indicator 4.3.1 (15 to under 25 years),p,,,1.05
2010,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.97
2011,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.96
2012,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.96
2013,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.96
2014,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.96
2015,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.96
2016,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.95
2017,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.95
2018,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.96
2019,SDG-Indicator 4.3.1 (15 to under 65 years),,,,0.98
2020,SDG-Indicator 4.3.1 (15 to under 65 years),|,,,0.99
2021,SDG-Indicator 4.3.1 (15 to under 65 years),,,,1.01
2022,SDG-Indicator 4.3.1 (15 to under 65 years),,,,1.03
2023,SDG-Indicator 4.3.1 (15 to under 65 years),p,,,1.03
2010,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.95
2011,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.94
2012,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.951
2013,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.96
2014,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.96
2015,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.96
2016,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.95
2017,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.94
2018,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.95
2019,SDG-Indicator 4.3.1 (25 to under 55 years),,,,0.97
2020,SDG-Indicator 4.3.1 (25 to under 55 years),|,,,0.98
2021,SDG-Indicator 4.3.1 (25 to under 55 years),,,,1.01
2022,SDG-Indicator 4.3.1 (25 to under 55 years),,,,1.04
2023,SDG-Indicator 4.3.1 (25 to under 55 years),p,,,1.04
2010,SDG-Indicator 4.3.1 (55 to under 65 years),,,,0.86
2011,SDG-Indicator 4.3.1 (55 to under 65 years),,,,0.86
2012,SDG-Indicator 4.3.1 (55 to under 65 years),,,,0.9
2013,SDG-Indicator 4.3.1 (55 to under 65 years),,,,0.92
2014,SDG-Indicator 4.3.1 (55 to under 65 years),,,,0.96
2015,SDG-Indicator 4.3.1 (55 to under 65 years),,,,0.96
2016,SDG-Indicator 4.3.1 (55 to under 65 years),,,,0.98
2017,SDG-Indicator 4.3.1 (55 to under 65 years),,,,1.0
2018,SDG-Indicator 4.3.1 (55 to under 65 years),,,,1.03
2019,SDG-Indicator 4.3.1 (55 to under 65 years),,,,1.034
2020,SDG-Indicator 4.3.1 (55 to under 65 years),|,,,1.1
2021,SDG-Indicator 4.3.1 (55 to under 65 years),,,,1.07
2022,SDG-Indicator 4.3.1 (55 to under 65 years),,,,1.11
2023,SDG-Indicator 4.3.1 (55 to under 65 years),p,,,1.15
