Year,Type of service,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Schools with access to electricity,s,,,100
2011,Schools with access to electricity,s,,,100
2012,Schools with access to electricity,s,,,100
2013,Schools with access to electricity,s,,,100
2014,Schools with access to electricity,s,,,100
2015,Schools with access to electricity,s,,,100
2016,Schools with access to electricity,s,,,100
2017,Schools with access to electricity,s,,,100
2018,Schools with access to electricity,s,,,100
2019,Schools with access to electricity,s,,,100
2020,Schools with access to electricity,s,,,100
2021,Schools with access to electricity,s,,,100
2022,Schools with access to electricity,s,,,100
2023,Schools with access to electricity,s,,,100
2024,Schools with access to electricity,s,,,100
2025,Schools with access to electricity,s,,,100
2010,Schools with access to basic drinking water,s,,,100
2011,Schools with access to basic drinking water,s,,,100
2012,Schools with access to basic drinking water,s,,,100
2013,Schools with access to basic drinking water,s,,,100
2014,Schools with access to basic drinking water,s,,,100
2015,Schools with access to basic drinking water,s,,,100
2016,Schools with access to basic drinking water,s,,,100
2017,Schools with access to basic drinking water,s,,,100
2018,Schools with access to basic drinking water,s,,,100
2019,Schools with access to basic drinking water,s,,,100
2020,Schools with access to basic drinking water,s,,,100
2021,Schools with access to basic drinking water,s,,,100
2022,Schools with access to basic drinking water,s,,,100
2023,Schools with access to basic drinking water,s,,,100
2024,Schools with access to basic drinking water,s,,,100
2025,Schools with access to basic drinking water,s,,,100
2010,Schools with access to single-sex basic sanitation facilities,s,,,100
2011,Schools with access to single-sex basic sanitation facilities,s,,,100
2012,Schools with access to single-sex basic sanitation facilities,s,,,100
2013,Schools with access to single-sex basic sanitation facilities,s,,,100
2014,Schools with access to single-sex basic sanitation facilities,s,,,100
2015,Schools with access to single-sex basic sanitation facilities,s,,,100
2016,Schools with access to single-sex basic sanitation facilities,s,,,100
2017,Schools with access to single-sex basic sanitation facilities,s,,,100
2018,Schools with access to single-sex basic sanitation facilities,s,,,100
2019,Schools with access to single-sex basic sanitation facilities,s,,,100
2020,Schools with access to single-sex basic sanitation facilities,s,,,100
2021,Schools with access to single-sex basic sanitation facilities,s,,,100
2022,Schools with access to single-sex basic sanitation facilities,s,,,100
2023,Schools with access to single-sex basic sanitation facilities,s,,,100
2024,Schools with access to single-sex basic sanitation facilities,s,,,100
2025,Schools with access to single-sex basic sanitation facilities,s,,,100
2010,Schools with access to basic handwashing facilities,s,,,100
2011,Schools with access to basic handwashing facilities,s,,,100
2012,Schools with access to basic handwashing facilities,s,,,100
2013,Schools with access to basic handwashing facilities,s,,,100
2014,Schools with access to basic handwashing facilities,s,,,100
2015,Schools with access to basic handwashing facilities,s,,,100
2016,Schools with access to basic handwashing facilities,s,,,100
2017,Schools with access to basic handwashing facilities,s,,,100
2018,Schools with access to basic handwashing facilities,s,,,100
2019,Schools with access to basic handwashing facilities,s,,,100
2020,Schools with access to basic handwashing facilities,s,,,100
2021,Schools with access to basic handwashing facilities,s,,,100
2022,Schools with access to basic handwashing facilities,s,,,100
2023,Schools with access to basic handwashing facilities,s,,,100
2024,Schools with access to basic handwashing facilities,s,,,100
2025,Schools with access to basic handwashing facilities,s,,,100
