Year,Units,Economic activity,Series,Value
2010,Percentage,,Change in water-use efficiency,
2011,Percentage,,Change in water-use efficiency,9.6
2012,Percentage,,Change in water-use efficiency,7.9
2013,Percentage,,Change in water-use efficiency,7.4
2014,Percentage,,Change in water-use efficiency,2.8
2015,Percentage,,Change in water-use efficiency,7.2
2016,Percentage,,Change in water-use efficiency,6.1
2017,Percentage,,Change in water-use efficiency,12.3
2018,Percentage,,Change in water-use efficiency,6.2
2019,Percentage,,Change in water-use efficiency,7.8
2010,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,
2011,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,23.8
2012,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,6.1
2013,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,5.9
2014,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,6.8
2015,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,-10.0
2016,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,7.9
2017,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,3.4
2018,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,-20.2
2019,Percentage,"Agriculture, forestry and fishing",Change in water-use efficiency,-14.5
2010,Percentage,MIMEC,Change in water-use efficiency,
2011,Percentage,MIMEC,Change in water-use efficiency,12.6
2012,Percentage,MIMEC,Change in water-use efficiency,11.5
2013,Percentage,MIMEC,Change in water-use efficiency,8.4
2014,Percentage,MIMEC,Change in water-use efficiency,2.2
2015,Percentage,MIMEC,Change in water-use efficiency,9.2
2016,Percentage,MIMEC,Change in water-use efficiency,8.3
2017,Percentage,MIMEC,Change in water-use efficiency,6.1
2018,Percentage,MIMEC,Change in water-use efficiency,8.6
2019,Percentage,MIMEC,Change in water-use efficiency,8.9
2010,Percentage,Services,Change in water-use efficiency,
2011,Percentage,Services,Change in water-use efficiency,6.7
2012,Percentage,Services,Change in water-use efficiency,2.9
2013,Percentage,Services,Change in water-use efficiency,1.6
2014,Percentage,Services,Change in water-use efficiency,5.9
2015,Percentage,Services,Change in water-use efficiency,5.5
2016,Percentage,Services,Change in water-use efficiency,3.9
2017,Percentage,Services,Change in water-use efficiency,7.5
2018,Percentage,Services,Change in water-use efficiency,4.4
2019,Percentage,Services,Change in water-use efficiency,5.3
2010,Euro per m³,,Water-use efficiency,63.3
2011,Euro per m³,,Water-use efficiency,69.4
2012,Euro per m³,,Water-use efficiency,74.9
2013,Euro per m³,,Water-use efficiency,80.4
2014,Euro per m³,,Water-use efficiency,82.7
2015,Euro per m³,,Water-use efficiency,88.7
2016,Euro per m³,,Water-use efficiency,94.0
2017,Euro per m³,,Water-use efficiency,105.6
2018,Euro per m³,,Water-use efficiency,112.2
2019,Euro per m³,,Water-use efficiency,120.9
2010,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,3.5
2011,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,4.3
2012,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,4.5
2013,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,4.8
2014,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,5.1
2015,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,4.6
2016,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,5.0
2017,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,5.2
2018,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,4.1
2019,Euro per m³,"Agriculture, forestry and fishing",Water-use efficiency,3.5
2010,Euro per m³,MIMEC,Water-use efficiency,26.0
2011,Euro per m³,MIMEC,Water-use efficiency,29.3
2012,Euro per m³,MIMEC,Water-use efficiency,32.6
2013,Euro per m³,MIMEC,Water-use efficiency,35.4
2014,Euro per m³,MIMEC,Water-use efficiency,36.2
2015,Euro per m³,MIMEC,Water-use efficiency,39.5
2016,Euro per m³,MIMEC,Water-use efficiency,42.8
2017,Euro per m³,MIMEC,Water-use efficiency,49.7
2018,Euro per m³,MIMEC,Water-use efficiency,53.9
2019,Euro per m³,MIMEC,Water-use efficiency,58.7
2010,Euro per m³,Services,Water-use efficiency,282.6
2011,Euro per m³,Services,Water-use efficiency,301.5
2012,Euro per m³,Services,Water-use efficiency,310.3
2013,Euro per m³,Services,Water-use efficiency,315.4
2014,Euro per m³,Services,Water-use efficiency,334.1
2015,Euro per m³,Services,Water-use efficiency,352.6
2016,Euro per m³,Services,Water-use efficiency,366.2
2017,Euro per m³,Services,Water-use efficiency,393.7
2018,Euro per m³,Services,Water-use efficiency,411.0
2019,Euro per m³,Services,Water-use efficiency,432.7
