Year,Units,Ecosystem,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2017,Percentage,Lakes and rivers permanent water area,.,,,Area change in comparison to 2015,
2018,Percentage,Lakes and rivers permanent water area,,,,Area change in comparison to 2015,0.519
2019,Percentage,Lakes and rivers permanent water area,…,,,Area change in comparison to 2015,
2017,Percentage,Wetlands area,.,,,Area change in comparison to 2015,
2018,Percentage,Wetlands area,,,,Area change in comparison to 2015,0.711
2019,Percentage,Wetlands area,…,,,Area change in comparison to 2015,
2017,Percentage,Large artificial or heavily modified lakes,.,,,Area change in comparison to 2015,
2018,Percentage,Large artificial or heavily modified lakes,,,,Area change in comparison to 2015,3.501
2019,Percentage,Large artificial or heavily modified lakes,…,,,Area change in comparison to 2015,
2015,km²,Lakes and rivers permanent water area,,,,Area,5851.0
2018,km²,Lakes and rivers permanent water area,,,,Area,5881.0
2015,km²,Wetlands area,,,,Area,1548.0
2018,km²,Wetlands area,,,,Area,1559.0
2015,km²,Large artificial or heavily modified lakes,,,,Area,457.0
2018,km²,Large artificial or heavily modified lakes,,,,Area,473.0
2015,Percentage,Lakes and rivers permanent water area,,,,Area as a proportion of total land area,1.635
2018,Percentage,Lakes and rivers permanent water area,,,,Area as a proportion of total land area,1.644
2015,Percentage,Wetlands area,x,,,Area as a proportion of total land area,0.433
2018,Percentage,Wetlands area,,,,Area as a proportion of total land area,0.436
2015,Percentage,Large artificial or heavily modified lakes,x,,,Area as a proportion of total land area,0.128
2018,Percentage,Large artificial or heavily modified lakes,,,,Area as a proportion of total land area,0.132
