Year,Units,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Official Development Assistance,Commitments,,,,1797.123
2011,Million EUR,Official Development Assistance,Commitments,,,,1106.844
2012,Million EUR,Official Development Assistance,Commitments,,,,964.189
2013,Million EUR,Official Development Assistance,Commitments,,,,1267.905
2014,Million EUR,Official Development Assistance,Commitments,,,,2889.356
2015,Million EUR,Official Development Assistance,Commitments,,,,1768.523
2016,Million EUR,Official Development Assistance,Commitments,,,,2103.052
2017,Million EUR,Official Development Assistance,Commitments,,,,1725.509
2018,Million EUR,Official Development Assistance,Commitments,,,,2454.271
2019,Million EUR,Official Development Assistance,Commitments,,,,1249.739
2020,Million EUR,Official Development Assistance,Commitments,,,,1214.012
2021,Million EUR,Official Development Assistance,Commitments,,,,1250.024
2022,Million EUR,Official Development Assistance,Commitments,,,,3197.093
2023,Million EUR,Official Development Assistance,Commitments,,,,2621.629
2024,Million EUR,Official Development Assistance,Commitments,,,,1880.908
2010,Million EUR,Official Development Assistance,Gross disbursements,,,,953.759
2011,Million EUR,Official Development Assistance,Gross disbursements,,,,695.003
2012,Million EUR,Official Development Assistance,Gross disbursements,,,,535.244
2013,Million EUR,Official Development Assistance,Gross disbursements,,,,892.546
2014,Million EUR,Official Development Assistance,Gross disbursements,,,,1172.503
2015,Million EUR,Official Development Assistance,Gross disbursements,,,,1531.453
2016,Million EUR,Official Development Assistance,Gross disbursements,,,,1511.822
2017,Million EUR,Official Development Assistance,Gross disbursements,,,,1264.141
2018,Million EUR,Official Development Assistance,Gross disbursements,,,,1388.628
2019,Million EUR,Official Development Assistance,Gross disbursements,,,,1274.053
2020,Million EUR,Official Development Assistance,Gross disbursements,,,,1455.283
2021,Million EUR,Official Development Assistance,Gross disbursements,,,,1278.401
2022,Million EUR,Official Development Assistance,Gross disbursements,,,,1854.243
2023,Million EUR,Official Development Assistance,Gross disbursements,,,,1893.147
