Year,Type of account,Value
2014,,145480
2015,,148138
2016,,150897
2017,,151388
2018,,153212
2019,,154856
2014,Online accounts,78631
2015,Online accounts,81488
2016,Online accounts,85985
2017,Online accounts,89351
2018,Online accounts,93542
2019,Online accounts,97975
2010,Current accounts,94982
2011,Current accounts,95684
2012,Current accounts,96858
2013,Current accounts,98512
2014,Current accounts,99875
2015,Current accounts,101661
2016,Current accounts,103844
2017,Current accounts,103876
2018,Current accounts,105955
2019,Current accounts,107791
